구간 번호,관리청,도로 분류,대표지역,도로(노선)명,0,기점 위도(WGS84(4326)),기점 경도(WGS84(4326)),종점 위도(WGS84(4326)),종점 경도(WGS84(4326)),정북기준 도로방향 각도(x1),정북기준 도로방향 각도(y1),정북기준 도로방향 각도(기점 기준십진수 방위각)
11500-12,서울특별시(강서구),구도,서울특별시 강서구,강서로29길,0.47,37.53796167,126.8369356,37.54011762,126.8413561,-0.004420512,-0.002155949,205.9991758
11500-8,서울특별시(강서구),구도,서울특별시 강서구,초록마을로,1.8,37.5356447,126.845401,37.54515851,126.8447037,0.000697353,-0.009513814,274.1922268
11500-11,서울특별시(강서구),구도,서울특별시 강서구,강서로26길,0.35,37.5407466,126.8457364,37.53921357,126.8423577,0.003378667,0.001533029,24.4055967
11500-13,서울특별시(강서구),구도,서울특별시 강서구,까치산로18다길,0.33,37.54662801,126.850842,37.54851493,126.8536753,-0.002833324,-0.001886917,213.66254
11500-6,서울특별시(강서구),구도,서울특별시 강서구,화곡로58길,0.62,37.55309857,126.8509817,37.5508949,126.8573928,-0.006411129,0.002203665,161.0308739
11500-7,서울특별시(강서구),구도,서울특별시 강서구,등촌로51길,0.62,37.55093526,126.8572981,37.54883225,126.8632665,-0.00596848,0.002103019,160.5898803
11500-10,서울특별시(강서구),구도,서울특별시 강서구,등촌로13자길,0.5,37.53883164,126.8575775,37.53598823,126.8532156,0.004361837,0.002843404,33.09961401
11500-5,서울특별시(강서구),구도,서울특별시 강서구,등촌로13길,0.68,37.54006841,126.8580301,37.53557895,126.8632817,-0.005251513,0.004489459,139.4732438
11500-9,서울특별시(강서구),구도,서울특별시 강서구,등촌로13아길,0.51,37.53793446,126.8584592,37.5361483,126.8530069,0.005452233,0.001786163,18.13890089
11440-6,서울특별시(마포구),시도,서울특별시 마포구,성산로,0.27,37.56060941,126.8968502,37.56192252,126.9001484,-0.003298242,-0.001313117,201.7088127
11560-5,서울특별시(영등포구),시도,서울특별시 영등포구,도림고가차도,0.4,37.51297,126.89732,37.50942,126.89942,-0.0021,0.00355,120.606407
11560-3,서울특별시(영등포구),구도,서울특별시 영등포구,도영로22길,0.2,37.510105,126.901846,37.511969,126.900655,0.001191,-0.001864,302.5764824
11440-9,서울특별시(마포구),시도,서울특별시 마포구,증산로,0.7,37.578668,126.904177,37.574671,126.899991,0.004186,0.003997,43.67689388
11440-1,서울특별시(마포구),시도,서울특별시 마포구,월드컵북로,0.28,37.56798654,126.9057062,37.5687512,126.9048712,0.000835028,-0.000764662,317.5186714
11545-3,서울특별시(금천구),구도,서울특별시 금천구,독산로54길(산기슭도로),0.2,37.469766,126.906695,37.46841,126.90714,-0.000445,0.001356,108.1683406
11545-5,서울특별시(금천구),구도,서울특별시 금천구,산기슭공원 옆,0.2,37.46264,126.907012,37.46397,126.906744,0.000268,-0.00133,281.3927537
11440-7,서울특별시(마포구),시도,서울특별시 마포구,토정로,0.04,37.5456056,126.9104059,37.54345512,126.9142735,-0.003867625,0.002150475,150.9250833
11560-2,서울특별시(영등포구),구도,서울특별시 영등포구,신길로42길,0.3,37.507512,126.912617,37.508456,126.910968,0.001649,-0.000944,330.2102366
11560-4,서울특별시(영등포구),시도,서울특별시 영등포구,가마산로,0.7,37.50489773,126.9138908,37.50410932,126.9174792,-0.003588383,0.000788405,167.6084091
11440-2,서울특별시(마포구),시도,서울특별시 마포구,모래내로,0.24,37.5660655,126.914043,37.5667649,126.9201432,-0.0061002,-0.0006994,186.5405157
11545-1,서울특별시(금천구),시도,서울특별시 금천구,금하로(벽산5단지),0.6,37.450003,126.914584,37.449936,126.920707,-0.006123,6.70E-05,179.3730746
11545-4,서울특별시(금천구),구도,서울특별시 금천구,금하로30길(금동초교),0.3,37.449989,126.914665,37.448309,126.916254,-0.001589,0.00168,133.4054543
11440-8,서울특별시(마포구),시도,서울특별시 마포구,모래내로,0.18,37.567144,126.915047,37.569291,126.917605,-0.002558,-0.002147,220.007664
11560-1,서울특별시(영등포구),구도,서울특별시 영등포구,가마산로79길,0.4,37.504529,126.915907,37.506914,126.917486,-0.001579,-0.002385,236.4932695
11545-2,서울특별시(금천구),시도,서울특별시 금천구,탑골로(벽산3단지),0.5,37.453339,126.917344,37.452483,126.920632,-0.003288,0.000856,165.4075043
11545-6,서울특별시(금천구),구도,서울특별시 금천구,벽산5단지 ~ 호암로,0.3,37.449876,126.920938,37.44834,126.920688,0.00025,0.001536,80.75557744
11410-6,서울특별시(서대문구),시도,서울특별시 서대문구,증가로,0.9,37.57511423,126.9266907,37.56875932,126.9320342,-0.005343497,0.006354916,130.058623
11380-7,서울특별시(은평구),구도,서울특별시 은평구,불광로,0.8,37.62503426,126.9290186,37.61849859,126.9330159,-0.003997275,0.006535674,121.4503169
11410-4,서울특별시(서대문구),시도,서울특별시 서대문구,성산로,0.6,37.56452577,126.9290765,37.56355719,126.9303081,-0.001231629,0.000968585,141.8175698
11410-2,서울특별시(서대문구),구도,서울특별시 서대문구,백련사길,0.9,37.58038073,126.9333565,37.58590243,126.9271745,0.006182036,-0.005521698,318.229271
11440-5,서울특별시(마포구),시도,서울특별시 마포구,백범로,0.3,37.55463058,126.9369514,37.551267,126.937676,-0.000724587,0.003363578,102.1569541
11380-6,서울특별시(은평구),시도,서울특별시 은평구,연서로,1.6,37.64094174,126.9374463,37.65040569,126.9364113,0.001034969,-0.009463953,276.2410104
11410-5,서울특별시(서대문구),구도,서울특별시 서대문구,모래내로,1,37.58282394,126.9375302,37.58606218,126.9467569,-0.009226712,-0.003238237,199.3392017
11590-15,서울특별시(동작구),구도,서울특별시 동작구,양녕로,0.35,37.50164151,126.9457886,37.49912208,126.9440184,0.001770267,0.002519433,54.90639525
11590-3,서울특별시(동작구),구도,서울특별시 동작구,만양로 고개,0.3,37.50885952,126.9466197,37.50626226,126.9477206,-0.00110096,0.002597257,112.9717654
11590-2,서울특별시(동작구),구도,서울특별시 동작구,노량진로17길,0.5,37.5136678,126.9469038,37.51533781,126.9442637,0.00264014,-0.001670014,327.6847024
11590-14,서울특별시(동작구),구도,서울특별시 동작구,만양로,0.06,37.50834111,126.9471268,37.5072664,126.9483177,-0.001190852,0.001074706,137.9347577
11410-1,서울특별시(서대문구),구도,서울특별시 서대문구,세검정로4길,0.5,37.59358554,126.9501936,37.59055433,126.953298,-0.003104449,0.003031219,135.6837972
11440-4,서울특별시(마포구),시도,서울특별시 마포구,백범로,0.5,37.54298187,126.9502095,37.54157652,126.9562126,-0.006003106,0.001405353,166.8240957
11440-3,서울특별시(마포구),시도,서울특별시 마포구,만리재로,1.33,37.542782,126.9502731,37.54510699,126.9520285,-0.001755326,-0.002324987,232.9478123
11590-7,서울특별시(동작구),구도,서울특별시 동작구,매봉로,0.3,37.51057002,126.9511645,37.50800031,126.9516207,-0.000456148,0.002569708,100.0656997
11590-1,서울특별시(동작구),구도,서울특별시 동작구,매봉로6길,0.4,37.50786978,126.9515714,37.50936139,126.9550286,-0.003457176,-0.001491609,203.3379254
11590-17,서울특별시(동작구),구도,서울특별시 동작구,흑석로,0.3,37.50423025,126.9538001,37.50624285,126.9556088,-0.001808749,-0.002012603,228.0536172
11410-3,서울특별시(서대문구),구도,서울특별시 서대문구,독립문공원길,0.3,37.57150871,126.9591483,37.57275622,126.9561156,0.003032717,-0.001247507,337.6401947
11590-12,서울특별시(동작구),시도,서울특별시 동작구,사당로,0.7,37.48929972,126.9658011,37.49471178,126.9610663,0.004734843,-0.005412059,311.1816773
11110-2,서울특별시(종로구),시도,서울특별시 종로구,북악산로,2.64,37.592354,126.96611,37.601653,126.980606,-0.014496,-0.009299,212.6796566
11590-11,서울특별시(동작구),구도,서울특별시 동작구,솔밭로,0.32,37.48240511,126.9668509,37.47985981,126.9641118,0.002739145,0.002545302,42.89922472
11110-1,서울특별시(종로구),시도,서울특별시 종로구,인왕산로,2.6,37.57478,126.967399,37.592354,126.96611,0.001289,-0.017574,274.1949611
11140-14,서울특별시(중구),시도,서울특별시 중구,소월로,0.2,37.55531191,126.9768024,37.5539861,126.9789735,-0.00217115,0.001325815,148.5896205
11140-13,서울특별시(중구),시도,서울특별시 중구,소파로,1.6,37.55612072,126.9771082,37.56080314,126.9881894,-0.01108119,-0.004682421,202.9067706
11650-4,서울특별시(서초구),시도,서울특별시 서초구,서초대로,1,37.487594,126.993427,37.4853604,126.9800171,0.0134099,0.0022336,9.456571359
11650-1,서울특별시(서초구),시도,서울특별시 서초구,신반포로,0.14,37.50554265,126.9935958,37.5065554,126.9928879,0.00070793,-0.001012747,304.9543121
11650-23,서울특별시(서초구),시도,서울특별시 서초구,서리풀터널상부,0.3,37.48888218,126.9974378,37.49046888,127.0030815,-0.005643751,-0.001586708,195.7030241
11650-1,서울특별시(서초구),시도,서울특별시 서초구,사평대로,0.35,37.50107012,127.0007013,37.50261445,127.005065,-0.004363663,-0.001544328,199.4891922
11650-19,서울특별시(서초구),시도,서울특별시 서초구,양재지하차도,0.35,37.50158907,127.0021161,37.5025648,127.004585,-0.002468859,-0.000975734,201.5647495
11650-17,서울특별시(서초구),구도,서울특별시 서초구,명달로1길`,85,37.47767849,127.0032079,37.4780636,127.0029631,0.000244811,-0.000385114,302.4435309
11650-16,서울특별시(서초구),구도,서울특별시 서초구,서초중앙로24길,0.03,37.49470351,127.0141585,37.49500699,127.0141796,-2.11E-05,-0.000303484,266.0206503
11650-18,서울특별시(서초구),구도,서울특별시 서초구,효령로,0.5,37.48816967,127.0146969,37.48246762,127.0176385,-0.002941586,0.00570205,117.288402
11650-1,서울특별시(서초구),구도,서울특별시 서초구,삼풍아파트 앞 고갯길,0.1,37.500944,127.015404,37.497358,127.01856,-0.003156,0.003586,131.3506585
