"동별(1)",동별(2),2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4
"동별(1)",동별(2),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",소계,4497896,9602826,4619922,4982904,9335734,4504618,4831116,267092,115304,151788,2.08,1853676
"합계",종로구,72387,149478,71233,78245,138184,66450,71734,11294,4783,6511,1.91,30242
"합계",중구,64863,130418,62608,67810,119850,57734,62116,10568,4874,5694,1.85,27148
"합계",용산구,103236,216537,104052,112485,203405,97137,106268,13132,6915,6217,1.97,39856
"합계",성동구,132253,281062,135357,145705,273523,132223,141300,7539,3134,4405,2.07,51907
"합계",광진구,170639,348660,165870,182790,331934,159056,172878,16726,6814,9912,1.95,60780
"합계",동대문구,174846,361950,174523,187427,342223,167280,174943,19727,7243,12484,1.96,70498
"합계",중랑구,188661,384320,187474,196846,378067,184934,193133,6253,2540,3713,2.00,84905
"합계",성북구,196988,433569,206181,227388,420380,201254,219126,13189,4927,8262,2.13,84607
"합계",강북구,143249,288797,138339,150458,282799,136335,146464,5998,2004,3994,1.97,72369
"합계",도봉구,139002,305391,147129,158262,302545,146102,156443,2846,1027,1819,2.18,75363
"합계",노원구,218325,495111,236842,258269,489831,234705,255126,5280,2137,3143,2.24,101968
"합계",은평구,215655,464466,219425,245041,460055,217653,242402,4411,1772,2639,2.13,99434
"합계",서대문구,146422,318085,147743,170342,301943,142926,159017,16142,4817,11325,2.06,60956
"합계",마포구,181157,371852,171696,200156,360520,167718,192802,11332,3978,7354,1.99,60795
"합계",양천구,180133,432901,210639,222262,429468,209250,220218,3433,1389,2044,2.38,81753
"합계",강서구,273685,560094,267524,292570,553987,264967,289020,6107,2557,3550,2.02,109257
"합계",구로구,183970,410727,202204,208523,386518,189161,197357,24209,13043,11166,2.10,85391
"합계",금천구,121136,238431,119999,118432,224412,112655,111757,14019,7344,6675,1.85,48898
"합계",영등포구,192568,396834,194829,202005,373056,182470,190586,23778,12359,11419,1.94,71660
"합계",동작구,187750,386897,185835,201062,375547,181267,194280,11350,4568,6782,2.00,74258
"합계",관악구,288132,497213,248254,248959,479067,241013,238054,18146,7241,10905,1.66,90299
"합계",서초구,170810,412715,196069,216646,407958,193818,214140,4757,2251,2506,2.39,69429
"합계",강남구,245139,563189,269014,294175,557296,266325,290971,5893,2689,3204,2.27,92668
"합계",송파구,286911,654127,313294,340833,647895,310454,337441,6232,2840,3392,2.26,115654
"합계",강동구,219979,500002,243789,256213,495271,241731,253540,4731,2058,2673,2.25,93581
