관측소명,시간,수위
고 척 교,2004-06-09 12:56,4.12
고 척 교,2004-06-09 13:00,4.2
고 척 교,2004-06-09 13:10,4.2
고 척 교,2004-06-09 13:20,4.2
고 척 교,2004-06-09 13:30,4.2
고 척 교,2004-06-09 13:40,4.2
고 척 교,2004-06-09 13:54,4.2
고 척 교,2004-06-09 14:00,4.2
고 척 교,2004-06-09 14:11,4.2
고 척 교,2004-06-09 14:21,4.2
고 척 교,2004-06-09 14:31,4.2
고 척 교,2004-06-09 14:40,4.2
고 척 교,2004-06-09 14:50,4.2
고 척 교,2004-06-09 15:01,4.2
고 척 교,2004-06-09 15:10,4.2
고 척 교,2004-06-09 15:20,4.2
고 척 교,2004-06-09 15:30,4.2
고 척 교,2004-06-09 15:40,4.2
고 척 교,2004-06-09 15:52,4.2
고 척 교,2004-06-09 16:00,4.2
고 척 교,2004-06-09 16:10,4.2
고 척 교,2004-06-09 16:20,4.2
고 척 교,2004-06-09 16:30,4.2
고 척 교,2004-06-09 16:40,4.2
고 척 교,2004-06-09 16:51,4.2
고 척 교,2004-06-09 17:01,4.2
고 척 교,2004-06-09 17:10,4.2
고 척 교,2004-06-09 17:20,4.2
고 척 교,2004-06-09 17:30,4.2
고 척 교,2004-06-09 17:40,4.2
고 척 교,2004-06-09 17:51,4.2
고 척 교,2004-06-09 18:00,4.2
고 척 교,2004-06-09 18:10,4.2
고 척 교,2004-06-09 18:20,4.2
고 척 교,2004-06-09 18:30,4.2
고 척 교,2004-06-09 18:40,4.2
고 척 교,2004-06-09 18:50,4.2
고 척 교,2004-06-09 19:00,4.2
고 척 교,2004-06-09 19:10,4.2
고 척 교,2004-06-09 19:20,4.2
고 척 교,2004-06-09 19:30,4.2
고 척 교,2004-06-09 19:40,4.2
고 척 교,2004-06-09 19:50,4.2
고 척 교,2004-06-09 20:00,4.2
고 척 교,2004-06-09 20:10,4.2
고 척 교,2004-06-09 20:20,4.2
고 척 교,2004-06-09 20:30,4.2
고 척 교,2004-06-09 20:40,4.2
고 척 교,2004-06-09 20:50,4.2
고 척 교,2004-06-09 21:00,4.2
고 척 교,2004-06-09 21:10,4.2
고 척 교,2004-06-09 21:20,4.2
고 척 교,2004-06-09 21:30,4.2
고 척 교,2004-06-09 21:40,4.2
고 척 교,2004-06-09 21:50,4.2
고 척 교,2004-06-09 22:00,4.2
고 척 교,2004-06-09 22:10,4.2
고 척 교,2004-06-09 22:20,4.2
고 척 교,2004-06-09 22:30,4.2
고 척 교,2004-06-09 22:40,4.2
고 척 교,2004-06-09 22:50,4.2
고 척 교,2004-06-09 23:00,4.2
고 척 교,2004-06-09 23:10,4.2
고 척 교,2004-06-09 23:20,4.2
고 척 교,2004-06-09 23:30,4.2
고 척 교,2004-06-09 23:40,4.2
고 척 교,2004-06-09 23:50,4.2
고 척 교,2004-06-10 0:00,4.2
고 척 교,2004-06-10 0:10,4.2
