관측소명,시간,수위
기아대교,2011-05-15 00:00,10.24 
기아대교,2011-05-15 00:10,10.23 
기아대교,2011-05-15 00:20,10.23 
기아대교,2011-05-15 00:30,10.22 
기아대교,2011-05-15 00:41,10.22 
기아대교,2011-05-15 00:50,10.22 
기아대교,2011-05-15 01:00,10.22 
기아대교,2011-05-15 01:10,10.22 
기아대교,2011-05-15 01:20,10.23 
기아대교,2011-05-15 01:30,10.23 
기아대교,2011-05-15 01:40,10.23 
기아대교,2011-05-15 01:50,10.23 
기아대교,2011-05-15 02:00,10.23 
기아대교,2011-05-15 02:10,10.22 
기아대교,2011-05-15 02:20,10.22 
기아대교,2011-05-15 02:30,10.22 
기아대교,2011-05-15 02:40,10.22 
기아대교,2011-05-15 02:50,10.22 
기아대교,2011-05-15 03:00,10.22 
기아대교,2011-05-15 03:10,10.22 
기아대교,2011-05-15 03:20,10.22 
기아대교,2011-05-15 03:30,10.21 
기아대교,2011-05-15 03:40,10.21 
기아대교,2011-05-15 03:50,10.21 
기아대교,2011-05-15 04:00,10.21 
기아대교,2011-05-15 04:10,10.21 
기아대교,2011-05-15 04:20,10.21 
기아대교,2011-05-15 04:30,10.21 
기아대교,2011-05-15 04:40,10.21 
기아대교,2011-05-15 04:50,10.21 
기아대교,2011-05-15 05:00,10.21 
기아대교,2011-05-15 05:10,10.21 
기아대교,2011-05-15 05:20,10.21 
기아대교,2011-05-15 05:30,10.21 
기아대교,2011-05-15 05:41,10.21 
기아대교,2011-05-15 05:50,10.20 
기아대교,2011-05-15 06:00,10.20 
기아대교,2011-05-15 06:10,10.20 
기아대교,2011-05-15 06:20,10.20 
기아대교,2011-05-15 06:31,10.20 
기아대교,2011-05-15 06:40,10.19 
기아대교,2011-05-15 06:50,10.19 
기아대교,2011-05-15 07:00,10.19 
기아대교,2011-05-15 07:11,10.19 
기아대교,2011-05-15 07:20,10.18 
기아대교,2011-05-15 07:30,10.17 
기아대교,2011-05-15 07:40,10.17 
기아대교,2011-05-15 07:50,10.17 
기아대교,2011-05-15 08:00,10.17 
기아대교,2011-05-15 08:10,10.17 
기아대교,2011-05-15 08:20,10.17 
기아대교,2011-05-15 08:30,10.17 
기아대교,2011-05-15 08:40,10.17 
기아대교,2011-05-15 08:50,10.17 
기아대교,2011-05-15 09:00,10.17 
기아대교,2011-05-15 09:10,10.17 
기아대교,2011-05-15 09:20,10.17 
기아대교,2011-05-15 09:31,10.17 
기아대교,2011-05-15 09:40,10.17 
기아대교,2011-05-15 09:50,10.17 
기아대교,2011-05-15 10:00,10.18 
기아대교,2011-05-15 10:11,10.18 
기아대교,2011-05-15 10:20,10.19 
기아대교,2011-05-15 10:30,10.19 
기아대교,2011-05-15 10:40,10.19 
기아대교,2011-05-15 10:50,10.19 
기아대교,2011-05-15 11:01,10.20 
기아대교,2011-05-15 11:10,10.20 
기아대교,2011-05-15 11:20,10.21 
기아대교,2011-05-15 11:30,10.21 
기아대교,2011-05-15 11:40,10.21 
기아대교,2011-05-15 11:50,10.21 
기아대교,2011-05-15 12:00,10.21 
기아대교,2011-05-15 12:10,10.21 
기아대교,2011-05-15 12:20,10.21 
기아대교,2011-05-15 12:30,10.21 
기아대교,2011-05-15 12:40,10.21 
기아대교,2011-05-15 12:50,10.21 
기아대교,2011-05-15 13:00,10.21 
기아대교,2011-05-15 13:10,10.21 
기아대교,2011-05-15 13:20,10.21 
기아대교,2011-05-15 13:30,10.21 
기아대교,2011-05-15 13:40,10.22 
기아대교,2011-05-15 13:50,10.22 
기아대교,2011-05-15 14:00,10.23 
기아대교,2011-05-15 14:10,10.23 
기아대교,2011-05-15 14:20,10.24 
기아대교,2011-05-15 14:30,10.24 
기아대교,2011-05-15 14:40,10.24 
기아대교,2011-05-15 14:50,10.24 
기아대교,2011-05-15 15:00,10.24 
기아대교,2011-05-15 15:10,10.24 
기아대교,2011-05-15 15:20,10.24 
기아대교,2011-05-15 15:31,10.24 
기아대교,2011-05-15 15:40,10.24 
기아대교,2011-05-15 15:50,10.24 
기아대교,2011-05-15 16:00,10.24 
기아대교,2011-05-15 16:10,10.24 
기아대교,2011-05-15 16:20,10.24 
기아대교,2011-05-15 16:30,10.24 
기아대교,2011-05-15 16:41,10.24 
기아대교,2011-05-15 16:51,10.25 
기아대교,2011-05-15 17:00,10.25 
기아대교,2011-05-15 17:10,10.25 
기아대교,2011-05-15 17:20,10.25 
기아대교,2011-05-15 17:31,10.25 
기아대교,2011-05-15 17:40,10.24 
기아대교,2011-05-15 17:50,10.24 
기아대교,2011-05-15 18:00,10.24 
기아대교,2011-05-15 18:10,10.23 
기아대교,2011-05-15 18:21,10.23 
기아대교,2011-05-15 18:30,10.23 
기아대교,2011-05-15 18:41,10.23 
기아대교,2011-05-15 18:51,10.22 
기아대교,2011-05-15 19:00,10.22 
기아대교,2011-05-15 19:10,10.22 
기아대교,2011-05-15 19:20,10.22 
기아대교,2011-05-15 19:30,10.22 
기아대교,2011-05-15 19:40,10.22 
기아대교,2011-05-15 19:51,10.23 
기아대교,2011-05-15 20:00,10.23 
기아대교,2011-05-15 20:10,10.22 
기아대교,2011-05-15 20:20,10.23 
기아대교,2011-05-15 20:30,10.23 
기아대교,2011-05-15 20:40,10.22 
기아대교,2011-05-15 20:50,10.23 
기아대교,2011-05-15 21:01,10.23 
기아대교,2011-05-15 21:11,10.23 
기아대교,2011-05-15 21:21,10.22 
기아대교,2011-05-15 21:30,10.22 
기아대교,2011-05-15 21:40,10.22 
기아대교,2011-05-15 21:50,10.23 
기아대교,2011-05-15 22:01,10.22 
기아대교,2011-05-15 22:10,10.22 
기아대교,2011-05-15 22:21,10.22 
기아대교,2011-05-15 22:30,10.22 
기아대교,2011-05-15 22:40,10.22 
기아대교,2011-05-15 22:50,10.22 
기아대교,2011-05-15 23:00,10.22 
기아대교,2011-05-15 23:10,10.22 
기아대교,2011-05-15 23:20,10.22 
기아대교,2011-05-15 23:30,10.22 
기아대교,2011-05-15 23:40,10.22 
기아대교,2011-05-15 23:50,10.22 
기아대교,2011-05-16 00:00,10.22 
기아대교,2011-05-16 00:10,10.22 
기아대교,2011-05-16 00:20,10.22 
기아대교,2011-05-16 00:30,10.22 
기아대교,2011-05-16 00:40,10.22 
기아대교,2011-05-16 00:50,10.22 
기아대교,2011-05-16 01:00,10.22 
기아대교,2011-05-16 01:10,10.22 
기아대교,2011-05-16 01:20,10.22 
기아대교,2011-05-16 01:30,10.22 
기아대교,2011-05-16 01:40,10.22 
기아대교,2011-05-16 01:50,10.22 
기아대교,2011-05-16 02:01,10.22 
기아대교,2011-05-16 02:10,10.22 
기아대교,2011-05-16 02:21,10.22 
기아대교,2011-05-16 02:30,10.22 
기아대교,2011-05-16 02:40,10.21 
기아대교,2011-05-16 02:50,10.20 
기아대교,2011-05-16 03:00,10.19 
기아대교,2011-05-16 03:10,10.18 
