관측소명,시간,수위
대 곡 교,2013-05-15 00:01,11.44 
대 곡 교,2013-05-15 00:12,11.43 
대 곡 교,2013-05-15 00:21,11.43 
대 곡 교,2013-05-15 00:30,11.43 
대 곡 교,2013-05-15 00:41,11.42 
대 곡 교,2013-05-15 00:51,11.43 
대 곡 교,2013-05-15 01:00,11.44 
대 곡 교,2013-05-15 01:10,11.43 
대 곡 교,2013-05-15 01:20,11.44 
대 곡 교,2013-05-15 01:30,11.43 
대 곡 교,2013-05-15 01:42,11.43 
대 곡 교,2013-05-15 01:51,11.42 
대 곡 교,2013-05-15 02:01,11.42 
대 곡 교,2013-05-15 02:11,11.42 
대 곡 교,2013-05-15 02:20,11.42 
대 곡 교,2013-05-15 02:32,11.42 
대 곡 교,2013-05-15 02:42,11.41 
대 곡 교,2013-05-15 02:50,11.41 
대 곡 교,2013-05-15 03:02,11.41 
대 곡 교,2013-05-15 03:10,11.41 
대 곡 교,2013-05-15 03:20,11.41 
대 곡 교,2013-05-15 03:30,11.40 
대 곡 교,2013-05-15 03:41,11.40 
대 곡 교,2013-05-15 03:50,11.40 
대 곡 교,2013-05-15 04:01,11.40 
대 곡 교,2013-05-15 04:10,11.40 
대 곡 교,2013-05-15 04:23,11.39 
대 곡 교,2013-05-15 04:31,11.39 
대 곡 교,2013-05-15 04:42,11.39 
대 곡 교,2013-05-15 04:50,11.39 
대 곡 교,2013-05-15 05:00,11.39 
대 곡 교,2013-05-15 05:12,11.39 
대 곡 교,2013-05-15 05:21,11.38 
대 곡 교,2013-05-15 05:32,11.38 
대 곡 교,2013-05-15 05:44,11.38 
대 곡 교,2013-05-15 05:51,11.38 
대 곡 교,2013-05-15 06:03,11.38 
대 곡 교,2013-05-15 06:11,11.38 
대 곡 교,2013-05-15 06:21,11.38 
대 곡 교,2013-05-15 06:30,11.38 
대 곡 교,2013-05-15 06:42,11.38 
대 곡 교,2013-05-15 06:50,11.38 
대 곡 교,2013-05-15 07:01,11.38 
대 곡 교,2013-05-15 07:10,11.38 
대 곡 교,2013-05-15 07:22,11.38 
대 곡 교,2013-05-15 07:31,11.38 
대 곡 교,2013-05-15 07:43,11.38 
대 곡 교,2013-05-15 07:51,11.38 
대 곡 교,2013-05-15 08:03,11.38 
대 곡 교,2013-05-15 08:12,11.39 
대 곡 교,2013-05-15 08:22,11.39 
대 곡 교,2013-05-15 08:32,11.40 
대 곡 교,2013-05-15 08:42,11.39 
대 곡 교,2013-05-15 08:51,11.40 
대 곡 교,2013-05-15 09:03,11.40 
대 곡 교,2013-05-15 09:13,11.41 
대 곡 교,2013-05-15 09:20,11.41 
대 곡 교,2013-05-15 09:31,11.41 
대 곡 교,2013-05-15 09:42,11.42 
대 곡 교,2013-05-15 09:51,11.41 
대 곡 교,2013-05-15 10:02,11.43 
대 곡 교,2013-05-15 10:15,11.43 
대 곡 교,2013-05-15 10:20,11.43 
대 곡 교,2013-05-15 10:32,11.43 
대 곡 교,2013-05-15 10:40,11.42 
대 곡 교,2013-05-15 10:51,11.43 
대 곡 교,2013-05-15 11:02,11.43 
대 곡 교,2013-05-15 11:12,11.42 
대 곡 교,2013-05-15 11:23,11.42 
대 곡 교,2013-05-15 11:32,11.42 
대 곡 교,2013-05-15 11:42,11.43 
대 곡 교,2013-05-15 11:53,11.42 
대 곡 교,2013-05-15 12:00,11.43 
대 곡 교,2013-05-15 12:13,11.42 
대 곡 교,2013-05-15 12:21,11.42 
대 곡 교,2013-05-15 12:30,11.42 
대 곡 교,2013-05-15 12:41,11.41 
대 곡 교,2013-05-15 12:52,11.41 
대 곡 교,2013-05-15 13:01,11.41 
