관측소명,시간,수위
도 림 교,2003-06-28 12:00,5.34 
도 림 교,2003-06-28 12:10,5.34 
도 림 교,2003-06-28 12:20,5.34 
도 림 교,2003-06-28 12:30,5.34 
도 림 교,2003-06-28 12:40,5.34 
도 림 교,2003-06-28 12:50,5.34 
도 림 교,2003-06-28 13:00,5.34 
도 림 교,2003-06-28 13:10,5.34 
도 림 교,2003-06-28 13:20,5.34 
도 림 교,2003-06-28 13:30,5.34 
도 림 교,2003-06-28 13:40,5.34 
도 림 교,2003-06-28 13:50,5.34 
도 림 교,2003-06-28 14:00,5.34 
도 림 교,2003-06-28 14:10,5.34 
도 림 교,2003-06-28 14:20,5.34 
도 림 교,2003-06-28 14:30,5.34 
도 림 교,2003-06-28 14:40,5.34 
도 림 교,2003-06-28 14:50,5.34 
도 림 교,2003-06-28 15:00,5.34 
도 림 교,2003-06-28 15:10,5.35 
도 림 교,2003-06-28 15:20,5.36 
도 림 교,2003-06-28 15:30,5.36 
도 림 교,2003-06-28 15:40,5.37 
도 림 교,2003-06-28 15:50,5.37 
도 림 교,2003-06-28 16:00,5.37 
도 림 교,2003-06-28 16:10,5.37 
도 림 교,2003-06-28 16:20,5.37 
도 림 교,2003-06-28 16:30,5.37 
도 림 교,2003-06-28 16:40,5.37 
도 림 교,2003-06-28 16:50,5.37 
도 림 교,2003-06-28 17:00,5.37 
도 림 교,2003-06-28 17:10,5.36 
도 림 교,2003-06-28 17:20,5.36 
도 림 교,2003-06-28 17:30,5.36 
도 림 교,2003-06-28 17:40,5.35 
도 림 교,2003-06-28 17:50,5.35 
도 림 교,2003-06-28 18:00,5.35 
도 림 교,2003-06-28 18:10,5.36 
도 림 교,2003-06-28 18:20,5.35 
도 림 교,2003-06-28 18:31,5.36 
도 림 교,2003-06-28 18:40,5.36 
도 림 교,2003-06-28 18:50,5.36 
도 림 교,2003-06-28 19:00,5.35 
도 림 교,2003-06-28 19:10,5.35 
도 림 교,2003-06-28 19:20,5.34 
도 림 교,2003-06-28 19:30,5.34 
도 림 교,2003-06-28 19:40,5.34 
도 림 교,2003-06-28 19:50,5.35 
도 림 교,2003-06-28 20:00,5.35 
도 림 교,2003-06-28 20:10,5.35 
도 림 교,2003-06-28 20:20,5.35 
도 림 교,2003-06-28 20:30,5.35 
도 림 교,2003-06-28 20:40,5.35 
도 림 교,2003-06-28 20:50,5.35 
도 림 교,2003-06-28 21:00,5.35 
도 림 교,2003-06-28 21:10,5.35 
도 림 교,2003-06-28 21:20,5.35 
도 림 교,2003-06-28 21:30,5.35 
도 림 교,2003-06-28 21:40,5.35 
도 림 교,2003-06-28 21:50,5.35 
도 림 교,2003-06-28 22:00,5.35 
도 림 교,2003-06-28 22:10,5.35 
도 림 교,2003-06-28 22:20,5.35 
도 림 교,2003-06-28 22:30,5.35 
도 림 교,2003-06-28 22:40,5.35 
도 림 교,2003-06-28 22:50,5.35 
도 림 교,2003-06-28 23:00,5.35 
도 림 교,2003-06-28 23:10,5.35 
도 림 교,2003-06-28 23:20,5.35 
도 림 교,2003-06-28 23:30,5.35 
도 림 교,2003-06-28 23:40,5.35 
도 림 교,2003-06-28 23:50,5.35 
도 림 교,2003-06-29 00:00,5.35 
도 림 교,2003-06-29 00:10,5.35 
도 림 교,2003-06-29 00:20,5.35 
도 림 교,2003-06-29 00:30,5.35 
도 림 교,2003-06-29 00:40,5.35 
도 림 교,2003-06-29 00:50,5.35 
도 림 교,2003-06-29 01:00,5.35 
도 림 교,2003-06-29 01:10,5.35 
도 림 교,2003-06-29 01:20,5.35 
도 림 교,2003-06-29 01:30,5.35 
도 림 교,2003-06-29 01:40,5.35 
도 림 교,2003-06-29 01:51,5.35 
도 림 교,2003-06-29 02:00,5.35 
도 림 교,2003-06-29 02:10,5.35 
도 림 교,2003-06-29 02:20,5.35 
도 림 교,2003-06-29 02:30,5.35 
도 림 교,2003-06-29 02:40,5.35 
도 림 교,2003-06-29 02:50,5.35 
도 림 교,2003-06-29 03:00,5.35 
도 림 교,2003-06-29 03:10,5.35 
도 림 교,2003-06-29 03:20,5.35 
도 림 교,2003-06-29 03:30,5.35 
도 림 교,2003-06-29 03:40,5.35 
도 림 교,2003-06-29 03:50,5.35 
도 림 교,2003-06-29 04:00,5.35 
도 림 교,2003-06-29 04:10,5.35 
도 림 교,2003-06-29 04:20,5.35 
도 림 교,2003-07-23 17:24,8.30 
도 림 교,2003-07-23 17:30,8.30 
도 림 교,2003-07-23 17:40,8.30 
도 림 교,2003-07-23 17:50,8.30 
도 림 교,2003-07-23 18:00,8.29 
도 림 교,2003-07-23 18:10,8.29 
도 림 교,2003-07-23 18:20,8.30 
도 림 교,2003-07-23 18:30,8.30 
도 림 교,2003-07-23 18:40,8.30 
도 림 교,2003-07-23 18:50,8.30 
도 림 교,2003-07-23 19:00,8.30 
도 림 교,2003-07-23 19:10,8.29 
도 림 교,2003-07-23 19:20,8.29 
도 림 교,2003-07-23 19:30,8.29 
도 림 교,2003-07-23 19:40,8.29 
도 림 교,2003-07-23 19:50,8.28 
도 림 교,2003-07-23 20:00,8.28 
도 림 교,2003-07-23 20:10,8.28 
도 림 교,2003-07-23 20:20,8.28 
도 림 교,2003-07-23 20:30,8.28 
도 림 교,2003-07-23 20:40,8.28 
도 림 교,2003-07-23 20:50,8.28 
도 림 교,2003-07-23 21:00,8.28 
도 림 교,2003-07-23 21:10,8.28 
도 림 교,2003-07-23 21:20,8.28 
도 림 교,2003-07-23 21:30,8.27 
도 림 교,2003-07-23 21:40,8.27 
도 림 교,2003-07-23 21:50,8.27 
도 림 교,2003-07-23 22:00,8.27 
도 림 교,2003-07-23 22:10,8.27 
도 림 교,2003-07-23 22:20,8.27 
도 림 교,2003-07-23 22:30,8.27 
도 림 교,2003-07-23 22:40,8.27 
도 림 교,2003-07-23 22:50,8.27 
도 림 교,2003-07-23 23:00,8.27 
도 림 교,2003-07-23 23:10,8.27 
도 림 교,2003-07-23 23:20,8.27 
도 림 교,2003-07-23 23:30,8.27 
도 림 교,2003-07-23 23:40,8.27 
도 림 교,2003-07-23 23:50,8.27 
도 림 교,2003-07-24 00:00,8.27 
도 림 교,2003-07-24 00:10,8.27 
도 림 교,2003-07-24 00:20,8.27 
도 림 교,2003-07-24 00:30,8.26 
도 림 교,2003-07-24 00:40,8.26 
도 림 교,2003-07-24 00:50,8.26 
도 림 교,2003-07-24 01:00,8.26 
도 림 교,2003-07-24 01:10,8.26 
도 림 교,2003-07-24 01:20,8.26 
도 림 교,2003-07-24 01:30,8.26 
도 림 교,2003-07-24 01:40,8.26 
도 림 교,2003-07-24 01:51,8.26 
도 림 교,2003-07-24 02:00,8.26 
도 림 교,2003-07-24 02:10,8.26 
도 림 교,2003-07-24 02:20,8.26 
도 림 교,2003-07-24 02:30,8.26 
도 림 교,2003-07-24 02:40,8.26 
도 림 교,2003-07-24 02:50,8.26 
도 림 교,2003-07-24 03:00,8.26 
도 림 교,2003-07-24 03:10,8.26 
도 림 교,2003-07-24 03:20,8.26 
도 림 교,2003-07-24 03:30,8.26 
도 림 교,2003-07-24 03:40,8.25 
도 림 교,2003-07-24 03:50,8.25 
도 림 교,2003-07-24 04:00,8.25 
도 림 교,2003-07-24 04:10,8.25 
도 림 교,2003-07-24 04:20,8.25 
도 림 교,2003-07-24 04:30,8.25 
도 림 교,2003-07-24 04:40,8.25 
도 림 교,2003-07-24 04:50,8.25 
도 림 교,2003-07-24 05:02,8.25 
도 림 교,2003-07-24 05:10,8.25 
도 림 교,2003-07-24 05:20,8.25 
