관측소명,시간,수위
마장 2교,2010-05-15 00:00,8.44 
마장 2교,2010-05-15 00:10,8.43 
마장 2교,2010-05-15 00:20,8.43 
마장 2교,2010-05-15 00:30,8.43 
마장 2교,2010-05-15 00:40,8.43 
마장 2교,2010-05-15 00:50,8.43 
마장 2교,2010-05-15 01:01,8.30 
마장 2교,2010-05-15 01:10,8.44 
마장 2교,2010-05-15 01:20,8.44 
마장 2교,2010-05-15 01:30,8.00 
마장 2교,2010-05-15 01:51,8.00 
마장 2교,2010-05-15 02:00,8.44 
마장 2교,2010-05-15 02:10,8.00 
마장 2교,2010-05-15 02:21,8.30 
마장 2교,2010-05-15 02:30,8.00 
마장 2교,2010-05-15 02:40,8.44 
마장 2교,2010-05-15 02:51,8.30 
마장 2교,2010-05-15 03:00,8.44 
마장 2교,2010-05-15 03:10,8.44 
마장 2교,2010-05-15 03:20,8.45 
마장 2교,2010-05-15 03:30,8.44 
마장 2교,2010-05-15 03:40,8.45 
마장 2교,2010-05-15 03:51,8.30 
마장 2교,2010-05-15 04:01,8.30 
마장 2교,2010-05-15 04:10,8.44 
마장 2교,2010-05-15 04:20,8.44 
마장 2교,2010-05-15 04:30,8.44 
마장 2교,2010-05-15 04:40,8.00 
마장 2교,2010-05-15 04:50,8.40 
마장 2교,2010-05-15 05:00,8.44 
마장 2교,2010-05-15 05:10,8.44 
마장 2교,2010-05-15 05:30,8.44 
마장 2교,2010-05-15 05:40,8.44 
마장 2교,2010-05-15 05:50,8.00 
마장 2교,2010-05-15 06:00,8.44 
마장 2교,2010-05-15 06:10,8.00 
마장 2교,2010-05-15 06:20,8.44 
마장 2교,2010-05-15 06:30,8.00 
마장 2교,2010-05-15 06:50,8.45 
마장 2교,2010-05-15 07:00,8.44 
마장 2교,2010-05-15 07:10,8.44 
마장 2교,2010-05-15 07:20,8.44 
마장 2교,2010-05-15 07:30,8.44 
마장 2교,2010-05-15 07:40,8.44 
마장 2교,2010-05-15 07:50,8.44 
마장 2교,2010-05-15 08:00,8.45 
마장 2교,2010-05-15 08:10,8.00 
마장 2교,2010-05-15 08:31,8.30 
마장 2교,2010-05-15 08:40,8.46 
마장 2교,2010-05-15 08:50,8.46 
마장 2교,2010-05-15 09:00,8.46 
마장 2교,2010-05-15 09:11,8.30 
마장 2교,2010-05-15 09:20,8.00 
마장 2교,2010-05-15 09:50,8.00 
마장 2교,2010-05-15 10:10,8.46 
마장 2교,2010-05-15 10:21,8.30 
마장 2교,2010-05-15 10:30,8.45 
마장 2교,2010-05-15 10:40,8.45 
마장 2교,2010-05-15 10:56,8.30 
마장 2교,2010-05-15 11:01,8.30 
마장 2교,2010-05-15 11:10,8.45 
마장 2교,2010-05-15 11:20,8.45 
마장 2교,2010-05-15 11:31,8.30 
마장 2교,2010-05-15 11:40,8.44 
마장 2교,2010-05-15 11:50,8.43 
마장 2교,2010-05-15 12:01,8.40 
마장 2교,2010-05-15 12:10,8.43 
마장 2교,2010-05-15 12:20,8.44 
마장 2교,2010-05-15 12:31,8.30 
마장 2교,2010-05-15 12:50,8.44 
마장 2교,2010-05-15 13:00,8.43 
마장 2교,2010-05-15 13:10,8.43 
마장 2교,2010-05-15 13:20,8.00 
마장 2교,2010-05-15 13:30,8.40 
마장 2교,2010-05-15 13:50,8.43 
마장 2교,2010-05-15 14:00,8.43 
마장 2교,2010-05-15 14:20,8.44 
마장 2교,2010-05-15 14:30,8.43 
마장 2교,2010-05-15 14:40,8.43 
마장 2교,2010-05-15 14:50,8.43 
마장 2교,2010-05-15 15:00,8.43 
마장 2교,2010-05-15 15:10,8.43 
마장 2교,2010-05-15 15:20,8.00 
마장 2교,2010-05-15 15:40,8.43 
마장 2교,2010-05-15 15:51,8.30 
마장 2교,2010-05-15 16:00,8.40 
마장 2교,2010-05-15 16:10,8.44 
마장 2교,2010-05-15 16:21,8.30 
마장 2교,2010-05-15 16:31,8.30 
마장 2교,2010-05-15 16:41,8.30 
마장 2교,2010-05-15 16:50,8.44 
마장 2교,2010-05-15 17:00,8.44 
마장 2교,2010-05-15 17:10,8.44 
마장 2교,2010-05-15 17:21,8.30 
마장 2교,2010-05-15 17:40,8.44 
마장 2교,2010-05-15 17:51,8.44 
마장 2교,2010-05-15 18:00,8.44 
마장 2교,2010-05-15 18:10,8.00 
마장 2교,2010-05-15 18:21,8.44 
마장 2교,2010-05-15 18:40,8.00 
마장 2교,2010-05-15 19:00,8.44 
마장 2교,2010-05-15 19:10,8.00 
마장 2교,2010-05-15 19:20,8.44 
마장 2교,2010-05-15 19:30,8.00 
마장 2교,2010-05-15 19:50,8.44 
마장 2교,2010-05-15 20:00,8.44 
마장 2교,2010-05-15 20:10,8.44 
마장 2교,2010-05-15 20:21,8.30 
마장 2교,2010-05-15 20:30,8.44 
마장 2교,2010-05-15 20:40,8.44 
마장 2교,2010-05-15 20:50,8.44 
마장 2교,2010-05-15 21:00,8.00 
마장 2교,2010-05-15 21:10,8.44 
마장 2교,2010-05-15 21:30,8.00 
마장 2교,2010-05-15 21:41,8.30 
마장 2교,2010-05-15 22:00,8.00 
마장 2교,2010-05-15 22:10,8.44 
마장 2교,2010-05-15 22:20,8.44 
마장 2교,2010-05-15 22:30,8.00 
마장 2교,2010-05-15 22:40,8.44 
마장 2교,2010-05-15 22:50,8.44 
마장 2교,2010-05-15 23:10,8.44 
마장 2교,2010-05-15 23:20,8.44 
마장 2교,2010-05-15 23:30,8.44 
마장 2교,2010-05-15 23:40,8.44 
마장 2교,2010-05-15 23:50,8.44 
마장 2교,2010-05-16 00:10,8.44 
마장 2교,2010-05-16 00:20,8.44 
마장 2교,2010-05-16 00:30,8.44 
마장 2교,2010-05-16 00:40,8.44 
마장 2교,2010-05-16 00:50,8.44 
마장 2교,2010-05-16 01:00,8.44 
마장 2교,2010-05-16 01:10,8.44 
마장 2교,2010-05-16 01:20,8.44 
마장 2교,2010-05-16 01:40,8.00 
마장 2교,2010-05-16 01:50,8.40 
마장 2교,2010-05-16 02:00,8.44 
마장 2교,2010-05-16 02:10,8.40 
마장 2교,2010-05-16 02:20,8.00 
마장 2교,2010-05-16 02:30,8.43 
마장 2교,2010-05-16 02:40,8.43 
마장 2교,2010-05-16 02:50,8.43 
마장 2교,2010-05-16 03:00,8.43 
마장 2교,2010-05-16 03:11,8.30 
마장 2교,2010-05-16 03:20,8.43 
마장 2교,2010-05-16 03:30,8.43 
마장 2교,2010-05-16 03:40,8.43 
마장 2교,2010-05-16 04:00,8.00 
마장 2교,2010-05-16 04:21,8.43 
마장 2교,2010-05-16 04:30,8.43 
마장 2교,2010-05-16 04:40,8.43 
마장 2교,2010-05-16 04:50,8.00 
마장 2교,2010-05-16 05:00,8.43 
마장 2교,2010-05-16 05:11,8.00 
마장 2교,2010-05-16 05:20,8.43 
마장 2교,2010-05-16 05:30,8.43 
마장 2교,2010-05-16 05:40,8.44 
마장 2교,2010-05-16 06:00,8.44 
마장 2교,2010-05-16 06:10,8.44 
마장 2교,2010-05-16 06:20,8.44 
마장 2교,2010-05-16 06:31,8.30 
마장 2교,2010-05-16 06:40,8.44 
마장 2교,2010-05-16 06:51,8.30 
마장 2교,2010-05-16 07:10,8.48 
마장 2교,2010-05-16 07:20,8.48 
마장 2교,2010-05-16 07:30,8.49 
마장 2교,2010-05-16 07:50,8.49 
마장 2교,2010-05-16 08:00,8.48 
마장 2교,2010-05-16 08:10,8.48 
마장 2교,2010-05-16 08:20,8.49 
마장 2교,2010-05-16 08:30,8.49 
마장 2교,2010-05-16 08:40,8.49 
마장 2교,2010-05-16 08:51,8.30 
마장 2교,2010-05-16 09:00,8.49 
마장 2교,2010-05-16 09:10,8.47 
마장 2교,2010-05-16 09:20,8.47 
마장 2교,2010-05-16 09:31,8.30 
마장 2교,2010-05-16 09:40,8.46 
마장 2교,2010-05-16 09:50,8.46 
마장 2교,2010-05-16 10:01,8.30 
마장 2교,2010-05-16 10:10,8.47 
마장 2교,2010-05-16 10:30,8.00 
마장 2교,2010-05-16 10:40,8.46 
마장 2교,2010-05-16 10:51,8.30 
마장 2교,2010-05-16 11:00,8.45 
마장 2교,2010-05-16 11:20,8.45 
마장 2교,2010-05-16 11:40,8.45 
마장 2교,2010-05-16 11:50,8.45 
마장 2교,2010-05-16 12:01,8.30 
마장 2교,2010-05-16 12:21,8.30 
마장 2교,2010-05-16 12:30,8.46 
마장 2교,2010-05-16 12:50,8.00 
마장 2교,2010-05-16 13:00,8.46 
마장 2교,2010-05-16 13:10,8.46 
마장 2교,2010-05-16 13:20,8.46 
마장 2교,2010-05-16 13:30,8.45 
마장 2교,2010-05-16 13:40,8.44 
마장 2교,2010-05-16 14:10,8.44 
마장 2교,2010-05-16 14:20,8.44 
마장 2교,2010-05-16 14:30,8.44 
마장 2교,2010-05-16 14:40,8.00 
마장 2교,2010-05-16 14:51,8.30 
마장 2교,2010-05-16 15:00,8.44 
마장 2교,2010-05-16 15:21,8.44 
마장 2교,2010-05-16 15:30,8.44 
마장 2교,2010-05-16 15:40,8.45 
마장 2교,2010-05-16 15:50,8.00 
마장 2교,2010-05-16 16:00,8.40 
마장 2교,2010-05-16 16:10,8.00 
마장 2교,2010-05-16 16:20,8.45 
마장 2교,2010-05-16 16:30,8.45 
마장 2교,2010-05-16 16:40,8.45 
마장 2교,2010-05-16 17:01,8.00 
마장 2교,2010-05-16 17:10,8.45 
마장 2교,2010-05-16 17:20,8.00 
마장 2교,2010-05-16 17:31,8.00 
마장 2교,2010-05-16 17:40,8.45 
마장 2교,2010-05-16 17:50,8.45 
마장 2교,2010-05-16 18:00,8.45 
마장 2교,2010-05-16 18:10,8.45 
마장 2교,2010-05-16 18:21,8.30 
마장 2교,2010-05-16 18:30,8.44 
마장 2교,2010-05-16 18:40,8.44 
마장 2교,2010-05-16 19:00,8.44 
마장 2교,2010-05-16 19:11,8.00 
마장 2교,2010-05-16 19:30,8.00 
마장 2교,2010-05-16 19:40,8.44 
마장 2교,2010-05-16 20:00,8.45 
마장 2교,2010-05-16 20:10,8.45 
마장 2교,2010-05-16 20:20,8.44 
마장 2교,2010-05-16 20:30,8.45 
마장 2교,2010-05-16 20:40,8.45 
마장 2교,2010-05-16 20:50,8.44 
마장 2교,2010-05-16 21:00,8.00 
마장 2교,2010-05-16 21:20,8.44 
마장 2교,2010-05-16 21:30,8.40 
마장 2교,2010-05-16 21:40,8.44 
마장 2교,2010-05-16 21:50,8.40 
마장 2교,2010-05-16 22:00,8.44 
마장 2교,2010-05-16 22:10,8.44 
마장 2교,2010-05-16 22:20,8.44 
마장 2교,2010-05-16 22:41,8.30 
마장 2교,2010-05-16 22:50,8.44 
마장 2교,2010-05-16 23:00,8.40 
마장 2교,2010-05-16 23:10,8.44 
마장 2교,2010-05-16 23:20,8.00 
마장 2교,2010-05-16 23:30,8.40 
마장 2교,2010-05-16 23:41,8.44 
마장 2교,2010-05-16 23:50,8.44 
마장 2교,2010-05-17 00:00,8.44 
마장 2교,2010-05-17 00:11,8.44 
마장 2교,2010-05-17 00:20,8.44 
마장 2교,2010-05-17 00:30,8.00 
마장 2교,2010-05-17 00:50,8.44 
마장 2교,2010-05-17 01:00,8.44 
마장 2교,2010-05-17 01:10,8.44 
마장 2교,2010-05-17 01:20,8.40 
마장 2교,2010-05-17 01:40,8.00 
마장 2교,2010-05-17 01:51,8.00 
마장 2교,2010-05-17 02:00,8.43 
마장 2교,2010-05-17 02:10,8.43 
마장 2교,2010-05-17 02:20,8.40 
마장 2교,2010-05-17 02:30,8.44 
마장 2교,2010-05-17 02:40,8.00 
마장 2교,2010-05-17 03:00,8.40 
마장 2교,2010-05-17 03:11,8.30 
마장 2교,2010-05-17 03:20,8.44 
마장 2교,2010-05-17 03:40,8.44 
마장 2교,2010-05-17 03:50,8.44 
마장 2교,2010-05-17 04:00,8.40 
마장 2교,2010-05-17 04:10,8.00 
마장 2교,2010-05-17 04:20,8.45 
마장 2교,2010-05-17 04:30,8.45 
마장 2교,2010-05-17 04:40,8.45 
마장 2교,2010-05-17 05:00,8.45 
마장 2교,2010-05-17 05:10,8.44 
마장 2교,2010-05-17 05:20,8.44 
마장 2교,2010-05-17 05:31,8.30 
마장 2교,2010-05-17 05:50,8.44 
마장 2교,2010-05-17 06:00,8.44 
마장 2교,2010-05-17 06:10,8.44 
마장 2교,2010-05-17 06:20,8.44 
마장 2교,2010-05-17 06:30,8.44 
마장 2교,2010-05-17 06:50,8.45 
마장 2교,2010-05-17 07:00,8.00 
마장 2교,2010-05-17 07:20,8.44 
마장 2교,2010-05-17 07:30,8.45 
마장 2교,2010-05-17 07:50,8.48 
마장 2교,2010-05-17 08:00,8.47 
마장 2교,2010-05-17 08:10,8.47 
마장 2교,2010-05-17 08:21,8.30 
마장 2교,2010-05-17 08:31,8.30 
마장 2교,2010-05-17 08:40,8.48 
마장 2교,2010-05-17 08:50,8.48 
마장 2교,2010-05-17 09:01,8.49 
마장 2교,2010-05-17 09:10,8.49 
마장 2교,2010-05-17 09:20,8.48 
마장 2교,2010-05-17 09:31,8.00 
마장 2교,2010-05-17 09:50,8.48 
마장 2교,2010-05-17 10:01,8.30 
마장 2교,2010-05-17 10:11,8.30 
마장 2교,2010-05-17 10:20,8.48 
마장 2교,2010-05-17 10:30,8.00 
마장 2교,2010-05-17 10:40,8.40 
마장 2교,2010-05-17 10:51,8.30 
마장 2교,2010-05-17 11:00,8.46 
마장 2교,2010-05-17 11:10,8.46 
마장 2교,2010-05-17 11:21,8.30 
마장 2교,2010-05-17 11:50,8.45 
마장 2교,2010-05-17 12:00,8.45 
마장 2교,2010-05-17 12:11,8.40 
마장 2교,2010-05-17 12:20,8.00 
마장 2교,2010-05-17 12:30,8.45 
마장 2교,2010-05-17 12:41,8.00 
마장 2교,2010-05-17 12:50,8.45 
마장 2교,2010-05-17 13:00,8.45 
마장 2교,2010-05-17 13:10,8.00 
마장 2교,2010-05-17 13:21,8.30 
마장 2교,2010-05-17 13:30,8.44 
마장 2교,2010-05-17 13:40,8.40 
마장 2교,2010-05-17 13:50,8.45 
마장 2교,2010-05-17 14:00,8.45 
마장 2교,2010-05-17 14:21,8.40 
마장 2교,2010-05-17 14:30,8.00 
마장 2교,2010-05-17 14:40,8.44 
마장 2교,2010-05-17 14:50,8.44 
마장 2교,2010-05-17 15:00,8.44 
마장 2교,2010-05-17 15:10,8.45 
마장 2교,2010-05-17 15:20,8.45 
마장 2교,2010-05-17 15:30,8.44 
마장 2교,2010-05-17 15:41,8.44 
마장 2교,2010-05-17 15:50,8.44 
마장 2교,2010-05-17 16:00,8.44 
마장 2교,2010-05-17 16:10,8.44 
마장 2교,2010-05-17 16:21,8.40 
마장 2교,2010-05-17 16:30,8.44 
마장 2교,2010-05-17 16:40,8.44 
마장 2교,2010-05-17 17:10,8.44 
마장 2교,2010-05-17 17:20,8.44 
마장 2교,2010-05-17 17:30,8.44 
마장 2교,2010-05-17 17:41,8.30 
마장 2교,2010-05-17 17:50,8.44 
마장 2교,2010-05-17 18:00,8.00 
마장 2교,2010-05-17 18:11,8.30 
마장 2교,2010-05-17 18:20,8.44 
마장 2교,2010-05-17 18:30,8.44 
마장 2교,2010-05-17 18:40,8.44 
마장 2교,2010-05-17 18:50,8.44 
마장 2교,2010-05-17 19:00,8.44 
마장 2교,2010-05-17 19:10,8.44 
마장 2교,2010-05-17 19:20,8.44 
마장 2교,2010-05-17 19:30,8.44 
마장 2교,2010-05-17 20:00,8.44 
마장 2교,2010-05-17 20:11,8.44 
마장 2교,2010-05-17 20:21,8.00 
마장 2교,2010-05-17 20:30,8.40 
마장 2교,2010-05-17 20:40,8.44 
마장 2교,2010-05-17 20:50,8.44 
마장 2교,2010-05-17 21:00,8.45 
마장 2교,2010-05-17 21:11,8.30 
마장 2교,2010-05-17 21:21,8.00 
마장 2교,2010-05-17 21:31,8.30 
마장 2교,2010-05-17 21:40,8.45 
마장 2교,2010-05-17 21:50,8.45 
마장 2교,2010-05-17 22:00,8.00 
마장 2교,2010-05-17 22:10,8.45 
