관측소명,시간,수위
성 동 교,2010-05-19 16:58,4.6
성 동 교,2010-05-19 17:00,4.6
성 동 교,2010-05-19 17:11,4.6
성 동 교,2010-05-19 17:21,4.6
성 동 교,2010-05-19 17:30,4.6
성 동 교,2010-05-19 17:40,4.6
성 동 교,2010-05-19 17:51,4.6
성 동 교,2010-05-19 18:01,4.6
성 동 교,2010-05-19 18:11,4.6
성 동 교,2010-05-19 18:20,4.6
성 동 교,2010-05-19 18:30,4.6
성 동 교,2010-05-19 18:40,4.6
성 동 교,2010-05-19 18:50,4.6
성 동 교,2010-05-19 19:00,4.6
성 동 교,2010-05-19 19:10,4.6
성 동 교,2010-05-19 19:21,4.6
성 동 교,2010-05-19 19:30,4.6
성 동 교,2010-05-19 19:41,4.6
성 동 교,2010-05-19 19:50,4.6
성 동 교,2010-05-19 20:00,4.6
성 동 교,2010-05-19 20:10,4.6
성 동 교,2010-05-19 20:20,4.6
성 동 교,2010-05-19 20:30,4.6
성 동 교,2010-05-19 20:40,4.6
성 동 교,2010-05-19 20:50,4.6
성 동 교,2010-05-19 21:00,4.6
성 동 교,2010-05-19 21:10,4.6
성 동 교,2010-05-19 21:20,4.6
성 동 교,2010-05-19 21:30,4.6
성 동 교,2010-05-19 21:40,4.6
성 동 교,2010-05-19 21:50,4.6
성 동 교,2010-05-19 22:00,4.6
성 동 교,2010-05-19 22:11,4.6
성 동 교,2010-05-19 22:20,4.6
성 동 교,2010-05-19 22:30,4.6
성 동 교,2010-05-19 22:40,4.6
성 동 교,2010-05-19 22:50,4.6
성 동 교,2010-05-19 23:00,4.6
성 동 교,2010-05-19 23:10,4.6
성 동 교,2010-05-19 23:20,4.6
성 동 교,2010-05-19 23:30,4.6
성 동 교,2010-05-19 23:40,4.6
성 동 교,2010-05-19 23:50,4.6
성 동 교,2010-05-20 0:00,4.6
성 동 교,2010-05-20 0:10,4.6
성 동 교,2010-05-20 0:20,4.6
성 동 교,2010-05-20 0:30,4.6
성 동 교,2010-05-20 0:40,4.6
성 동 교,2010-05-20 0:50,4.6
성 동 교,2010-05-20 1:00,4.6
성 동 교,2010-05-20 1:10,4.6
성 동 교,2010-05-20 1:20,4.6
성 동 교,2010-05-20 1:30,4.6
성 동 교,2010-05-20 1:40,4.6
성 동 교,2010-05-20 1:50,4.6
성 동 교,2010-05-20 2:00,4.6
성 동 교,2010-05-20 2:10,4.6
성 동 교,2010-05-20 2:20,4.6
성 동 교,2010-05-20 2:31,4.6
성 동 교,2010-05-20 2:40,4.6
성 동 교,2010-05-20 2:50,4.6
성 동 교,2010-05-20 3:00,4.6
성 동 교,2010-05-20 3:10,4.6
성 동 교,2010-05-20 3:20,4.6
성 동 교,2010-05-20 3:30,4.6
성 동 교,2010-05-20 3:41,4.6
성 동 교,2010-05-20 3:50,4.6
성 동 교,2010-05-20 4:00,4.6
성 동 교,2010-05-20 4:11,4.6
성 동 교,2010-05-20 4:20,4.6
성 동 교,2010-05-20 4:30,4.6
성 동 교,2010-05-20 4:40,4.6
성 동 교,2010-05-20 4:51,4.6
