관측소명,시간,수위
신 의 교,2011-05-15 00:00,34.28 
신 의 교,2011-05-15 00:11,34.28 
신 의 교,2011-05-15 00:20,34.28 
신 의 교,2011-05-15 00:30,34.28 
신 의 교,2011-05-15 00:40,34.28 
신 의 교,2011-05-15 00:50,34.12 
신 의 교,2011-05-15 01:01,34.07 
신 의 교,2011-05-15 01:10,34.11 
신 의 교,2011-05-15 01:20,34.24 
신 의 교,2011-05-15 01:30,33.36 
신 의 교,2011-05-15 01:40,33.47 
신 의 교,2011-05-15 01:51,33.47 
신 의 교,2011-05-15 02:00,33.47 
신 의 교,2011-05-15 02:10,33.47 
신 의 교,2011-05-15 02:20,33.47 
신 의 교,2011-05-15 02:30,33.47 
신 의 교,2011-05-15 02:40,33.47 
신 의 교,2011-05-15 02:50,33.47 
신 의 교,2011-05-15 03:00,33.47 
신 의 교,2011-05-15 03:10,33.47 
신 의 교,2011-05-15 03:20,33.31 
신 의 교,2011-05-15 03:30,33.45 
신 의 교,2011-05-15 03:40,33.32 
신 의 교,2011-05-15 03:50,34.17 
신 의 교,2011-05-15 04:00,33.95 
신 의 교,2011-05-15 04:11,33.92 
신 의 교,2011-05-15 04:20,33.92 
신 의 교,2011-05-15 04:30,33.92 
신 의 교,2011-05-15 04:40,33.73 
신 의 교,2011-05-15 04:50,33.72 
신 의 교,2011-05-15 05:00,33.73 
신 의 교,2011-05-15 05:10,33.72 
신 의 교,2011-05-15 05:20,33.70 
신 의 교,2011-05-15 05:30,33.55 
신 의 교,2011-05-15 05:40,33.47 
신 의 교,2011-05-15 05:50,33.47 
신 의 교,2011-05-15 06:00,33.47 
신 의 교,2011-05-15 06:10,33.47 
신 의 교,2011-05-15 06:20,33.46 
신 의 교,2011-05-15 06:31,33.46 
신 의 교,2011-05-15 06:40,33.47 
신 의 교,2011-05-15 06:50,33.73 
신 의 교,2011-05-15 07:00,34.04 
신 의 교,2011-05-15 07:10,33.89 
신 의 교,2011-05-15 07:20,33.82 
신 의 교,2011-05-15 07:30,33.79 
신 의 교,2011-05-15 07:40,33.67 
신 의 교,2011-05-15 07:50,33.91 
신 의 교,2011-05-15 08:00,33.59 
신 의 교,2011-05-15 08:11,33.78 
신 의 교,2011-05-15 08:20,33.29 
신 의 교,2011-05-15 08:30,33.53 
신 의 교,2011-05-15 08:40,34.24 
신 의 교,2011-05-15 08:50,33.77 
신 의 교,2011-05-15 09:00,33.93 
신 의 교,2011-05-15 09:10,33.85 
신 의 교,2011-05-15 09:20,33.94 
신 의 교,2011-05-15 09:30,33.98 
신 의 교,2011-05-15 09:40,33.95 
신 의 교,2011-05-15 09:50,34.30 
신 의 교,2011-05-15 10:00,34.29 
신 의 교,2011-05-15 10:10,34.21 
신 의 교,2011-05-15 10:20,33.74 
신 의 교,2011-05-15 10:30,34.47 
신 의 교,2011-05-15 10:40,34.43 
신 의 교,2011-05-15 10:50,33.61 
신 의 교,2011-05-15 11:00,34.42 
신 의 교,2011-05-15 11:10,33.93 
신 의 교,2011-05-15 11:20,34.02 
신 의 교,2011-05-15 11:30,34.38 
신 의 교,2011-05-15 11:40,34.44 
신 의 교,2011-05-15 11:50,33.92 
신 의 교,2011-05-15 12:00,34.30 
신 의 교,2011-05-15 12:11,34.36 
신 의 교,2011-05-15 12:20,33.92 
신 의 교,2011-05-15 12:30,33.39 
신 의 교,2011-05-15 12:40,34.31 
신 의 교,2011-05-15 12:50,34.39 
신 의 교,2011-05-15 13:00,34.53 
신 의 교,2011-05-15 13:10,33.89 
신 의 교,2011-05-15 13:20,34.17 
신 의 교,2011-05-15 13:30,33.82 
신 의 교,2011-05-15 13:40,33.91 
신 의 교,2011-05-15 13:50,33.52 
신 의 교,2011-05-15 14:00,33.73 
신 의 교,2011-05-15 14:10,33.28 
신 의 교,2011-05-15 14:20,33.56 
신 의 교,2011-05-15 14:31,34.34 
신 의 교,2011-05-15 14:40,34.34 
신 의 교,2011-05-15 14:50,33.59 
신 의 교,2011-05-15 15:00,33.83 
신 의 교,2011-05-15 15:10,33.31 
신 의 교,2011-05-15 15:20,33.90 
신 의 교,2011-05-15 15:30,34.25 
