관측소명,시간,수위
장월교옆,2016-05-15 00:00,14.67 
장월교옆,2016-05-15 00:10,14.67 
장월교옆,2016-05-15 00:20,14.67 
장월교옆,2016-05-15 00:30,14.67 
장월교옆,2016-05-15 00:40,14.67 
장월교옆,2016-05-15 00:50,14.67 
장월교옆,2016-05-15 01:00,14.67 
장월교옆,2016-05-15 01:10,14.67 
장월교옆,2016-05-15 01:20,14.67 
장월교옆,2016-05-15 01:30,14.67 
장월교옆,2016-05-15 01:40,14.67 
장월교옆,2016-05-15 01:50,14.67 
장월교옆,2016-05-15 02:00,14.67 
장월교옆,2016-05-15 02:10,14.67 
장월교옆,2016-05-15 02:20,14.67 
장월교옆,2016-05-15 02:30,14.67 
장월교옆,2016-05-15 02:40,14.67 
장월교옆,2016-05-15 02:50,14.66 
장월교옆,2016-05-15 03:00,14.66 
장월교옆,2016-05-15 03:10,14.66 
장월교옆,2016-05-15 03:20,14.66 
장월교옆,2016-05-15 03:30,14.66 
장월교옆,2016-05-15 03:40,14.66 
장월교옆,2016-05-15 03:50,14.66 
장월교옆,2016-05-15 04:00,14.66 
장월교옆,2016-05-15 04:10,14.66 
장월교옆,2016-05-15 04:20,14.67 
장월교옆,2016-05-15 04:30,14.67 
장월교옆,2016-05-15 04:40,14.67 
장월교옆,2016-05-15 04:50,14.67 
장월교옆,2016-05-15 05:00,14.67 
장월교옆,2016-05-15 05:10,14.67 
장월교옆,2016-05-15 05:20,14.66 
장월교옆,2016-05-15 05:30,14.66 
장월교옆,2016-05-15 05:40,14.66 
장월교옆,2016-05-15 05:50,14.66 
장월교옆,2016-05-15 06:00,14.66 
장월교옆,2016-05-15 06:10,14.66 
장월교옆,2016-05-15 06:20,14.66 
장월교옆,2016-05-15 06:30,14.66 
장월교옆,2016-05-15 06:40,14.66 
장월교옆,2016-05-15 06:50,14.66 
장월교옆,2016-05-15 07:00,14.66 
장월교옆,2016-05-15 07:10,14.66 
장월교옆,2016-05-15 07:20,14.66 
장월교옆,2016-05-15 07:30,14.66 
장월교옆,2016-05-15 07:40,14.66 
장월교옆,2016-05-15 07:50,14.66 
장월교옆,2016-05-15 08:00,14.66 
장월교옆,2016-05-15 08:10,14.66 
장월교옆,2016-05-15 08:20,14.66 
장월교옆,2016-05-15 08:30,14.66 
장월교옆,2016-05-15 08:40,14.66 
장월교옆,2016-05-15 08:50,14.66 
장월교옆,2016-05-15 09:00,14.66 
장월교옆,2016-05-15 09:10,14.66 
장월교옆,2016-05-15 09:20,14.66 
장월교옆,2016-05-15 09:30,14.66 
장월교옆,2016-05-15 09:40,14.66 
장월교옆,2016-05-15 09:50,14.66 
장월교옆,2016-05-15 10:00,14.66 
장월교옆,2016-05-15 10:10,14.66 
장월교옆,2016-05-15 10:20,14.66 
장월교옆,2016-05-15 10:30,14.66 
장월교옆,2016-05-15 10:40,14.66 
장월교옆,2016-05-15 10:50,14.66 
장월교옆,2016-05-15 11:00,14.66 
장월교옆,2016-05-15 11:10,14.66 
장월교옆,2016-05-15 11:20,14.66 
