관측소명,시간,수위
증 산 교,2013-05-15 00:20,6.90 
증 산 교,2013-05-15 00:32,6.90 
증 산 교,2013-05-15 00:40,6.90 
증 산 교,2013-05-15 00:50,6.90 
증 산 교,2013-05-15 01:02,6.90 
증 산 교,2013-05-15 01:12,6.91 
증 산 교,2013-05-15 01:21,6.91 
증 산 교,2013-05-15 01:31,6.90 
증 산 교,2013-05-15 01:41,6.90 
증 산 교,2013-05-15 01:50,6.90 
증 산 교,2013-05-15 02:00,6.00 
증 산 교,2013-05-15 02:11,6.90 
증 산 교,2013-05-15 02:20,6.89 
증 산 교,2013-05-15 02:31,6.90 
증 산 교,2013-05-15 02:41,6.90 
증 산 교,2013-05-15 02:50,6.91 
증 산 교,2013-05-15 03:00,6.89 
증 산 교,2013-05-15 03:11,6.91 
증 산 교,2013-05-15 03:21,6.91 
증 산 교,2013-05-15 03:32,6.90 
증 산 교,2013-05-15 03:50,6.91 
증 산 교,2013-05-15 04:01,6.91 
증 산 교,2013-05-15 04:14,6.90 
증 산 교,2013-05-15 04:23,6.90 
증 산 교,2013-05-15 04:31,6.91 
증 산 교,2013-05-15 04:42,6.92 
증 산 교,2013-05-15 04:50,6.90 
증 산 교,2013-05-15 05:00,6.90 
증 산 교,2013-05-15 05:12,6.00 
증 산 교,2013-05-15 05:21,6.90 
증 산 교,2013-05-15 05:32,6.90 
증 산 교,2013-05-15 05:44,6.91 
증 산 교,2013-05-15 05:51,6.90 
증 산 교,2013-05-15 06:03,6.94 
증 산 교,2013-05-15 06:11,6.90 
증 산 교,2013-05-15 06:20,6.90 
증 산 교,2013-05-15 06:32,6.91 
증 산 교,2013-05-15 06:41,6.89 
증 산 교,2013-05-15 06:50,6.90 
증 산 교,2013-05-15 07:00,6.88 
증 산 교,2013-05-15 07:12,6.91 
증 산 교,2013-05-15 07:21,6.91 
증 산 교,2013-05-15 07:30,6.90 
증 산 교,2013-05-15 07:42,6.90 
증 산 교,2013-05-15 07:50,6.91 
증 산 교,2013-05-15 08:02,6.90 
증 산 교,2013-05-15 08:11,6.91 
증 산 교,2013-05-15 08:21,6.91 
증 산 교,2013-05-15 08:32,6.90 
증 산 교,2013-05-15 08:42,6.91 
증 산 교,2013-05-15 08:51,6.90 
증 산 교,2013-05-15 09:02,6.91 
증 산 교,2013-05-15 09:12,6.89 
증 산 교,2013-05-15 09:20,6.90 
증 산 교,2013-05-15 09:31,6.90 
증 산 교,2013-05-15 09:42,6.90 
증 산 교,2013-05-15 09:51,6.90 
증 산 교,2013-05-15 10:01,6.90 
증 산 교,2013-05-15 10:14,6.91 
증 산 교,2013-05-15 10:20,6.90 
증 산 교,2013-05-15 10:33,6.91 
증 산 교,2013-05-15 10:45,6.90 
증 산 교,2013-05-15 10:50,6.90 
증 산 교,2013-05-15 11:02,6.90 
증 산 교,2013-05-15 11:12,6.91 
증 산 교,2013-05-15 11:23,6.91 
증 산 교,2013-05-15 11:32,6.90 
증 산 교,2013-05-15 11:42,6.90 
증 산 교,2013-05-15 11:53,6.91 
증 산 교,2013-05-15 12:00,6.90 
증 산 교,2013-05-15 12:12,6.89 
증 산 교,2013-05-15 12:30,6.90 
증 산 교,2013-05-15 12:41,6.89 
증 산 교,2013-05-15 12:51,6.91 
증 산 교,2013-05-15 13:00,6.91 
증 산 교,2013-05-15 13:12,6.90 
증 산 교,2013-05-15 13:20,6.90 
증 산 교,2013-05-15 13:30,6.91 
증 산 교,2013-05-15 13:41,6.90 
증 산 교,2013-05-15 13:53,6.91 
증 산 교,2013-05-15 14:00,6.89 
증 산 교,2013-05-15 14:10,6.90 
증 산 교,2013-05-15 14:23,6.90 
증 산 교,2013-05-15 14:31,6.91 
증 산 교,2013-05-15 14:43,6.90 
증 산 교,2013-05-15 14:52,6.90 
증 산 교,2013-05-15 15:01,6.90 
증 산 교,2013-05-15 15:10,6.90 
증 산 교,2013-05-15 15:22,6.90 
증 산 교,2013-05-15 15:31,6.90 
증 산 교,2013-05-15 15:40,6.90 
증 산 교,2013-05-15 15:52,6.91 
증 산 교,2013-05-15 16:00,6.90 
증 산 교,2013-05-15 16:11,6.90 
증 산 교,2013-05-15 16:20,6.91 
증 산 교,2013-05-15 16:32,6.90 
증 산 교,2013-05-15 16:40,6.90 
증 산 교,2013-05-15 16:54,6.90 
증 산 교,2013-05-15 17:02,6.89 
증 산 교,2013-05-15 17:11,6.90 
증 산 교,2013-05-15 17:20,6.90 
증 산 교,2013-05-15 17:32,6.90 
증 산 교,2013-05-15 17:44,6.90 
증 산 교,2013-05-15 18:02,6.90 
증 산 교,2013-05-15 18:11,6.89 
증 산 교,2013-05-15 18:20,6.90 
증 산 교,2013-05-15 18:32,6.88 
증 산 교,2013-05-15 18:40,6.91 
증 산 교,2013-05-15 18:50,6.90 
증 산 교,2013-05-15 19:02,6.90 
증 산 교,2013-05-15 19:11,6.90 
증 산 교,2013-05-15 19:22,6.90 
증 산 교,2013-05-15 19:31,6.90 
증 산 교,2013-05-15 19:40,6.90 
증 산 교,2013-05-15 19:52,6.90 
증 산 교,2013-05-15 20:03,6.90 
증 산 교,2013-05-15 20:10,6.91 
증 산 교,2013-05-15 20:21,6.90 
증 산 교,2013-05-15 20:31,6.91 
증 산 교,2013-05-15 20:40,6.91 
증 산 교,2013-05-15 20:51,6.91 
증 산 교,2013-05-15 21:00,6.91 
증 산 교,2013-05-15 21:11,6.90 
증 산 교,2013-05-15 21:21,6.90 
증 산 교,2013-05-15 21:30,6.89 
증 산 교,2013-05-15 21:42,6.89 
증 산 교,2013-05-15 21:51,6.90 
증 산 교,2013-05-15 22:02,6.88 
증 산 교,2013-05-15 22:12,6.90 
증 산 교,2013-05-15 22:21,6.90 
증 산 교,2013-05-15 22:30,6.90 
증 산 교,2013-05-15 22:42,6.89 
증 산 교,2013-05-15 23:00,6.90 
증 산 교,2013-05-15 23:11,6.90 
증 산 교,2013-05-15 23:20,6.91 
증 산 교,2013-05-15 23:32,6.89 
증 산 교,2013-05-15 23:42,6.90 
증 산 교,2013-05-15 23:51,6.90 
증 산 교,2013-05-16 00:02,6.90 
증 산 교,2013-05-16 00:12,6.00 
증 산 교,2013-05-16 00:21,6.90 
증 산 교,2013-05-16 00:30,6.91 
증 산 교,2013-05-16 00:40,6.90 
증 산 교,2013-05-16 00:51,6.91 
증 산 교,2013-05-16 01:00,6.90 
증 산 교,2013-05-16 01:11,6.90 
증 산 교,2013-05-16 01:21,6.91 
증 산 교,2013-05-16 01:30,6.91 
증 산 교,2013-05-16 01:42,6.90 
증 산 교,2013-05-16 01:51,6.90 
증 산 교,2013-05-16 02:00,6.90 
증 산 교,2013-05-16 02:10,6.91 
증 산 교,2013-05-16 02:21,6.90 
증 산 교,2013-05-16 02:30,6.90 
증 산 교,2013-05-16 02:41,6.90 
증 산 교,2013-05-16 02:51,6.91 
증 산 교,2013-05-16 03:02,6.93 
증 산 교,2013-05-16 03:12,6.91 
증 산 교,2013-05-16 03:21,6.91 
증 산 교,2013-05-16 03:31,6.90 
증 산 교,2013-05-16 03:40,6.89 
증 산 교,2013-05-16 03:50,6.91 
증 산 교,2013-05-16 04:01,6.89 
증 산 교,2013-05-16 04:10,6.92 
증 산 교,2013-05-16 04:20,6.90 
증 산 교,2013-05-16 04:31,6.90 
증 산 교,2013-05-16 04:41,6.88 
증 산 교,2013-05-16 04:50,6.90 
증 산 교,2013-05-16 05:00,6.91 
증 산 교,2013-05-16 05:10,6.91 
증 산 교,2013-05-16 05:20,6.90 
증 산 교,2013-05-16 05:31,6.90 
증 산 교,2013-05-16 05:40,6.90 
증 산 교,2013-05-16 05:50,6.90 
증 산 교,2013-05-16 06:01,6.91 
증 산 교,2013-05-16 06:10,6.90 
증 산 교,2013-05-16 06:21,6.89 
증 산 교,2013-05-16 06:30,6.90 
증 산 교,2013-05-16 06:41,6.91 
증 산 교,2013-05-16 06:51,6.89 
증 산 교,2013-05-16 07:02,6.91 
증 산 교,2013-05-16 07:11,6.91 
증 산 교,2013-05-16 07:20,6.91 
증 산 교,2013-05-16 07:31,6.90 
증 산 교,2013-05-16 07:41,6.89 
증 산 교,2013-05-16 07:50,6.90 
증 산 교,2013-05-16 08:00,6.91 
증 산 교,2013-05-16 08:11,6.91 
증 산 교,2013-05-16 08:20,6.91 
증 산 교,2013-05-16 08:30,6.90 
증 산 교,2013-05-16 08:50,6.91 
증 산 교,2013-05-16 09:01,6.91 
증 산 교,2013-05-16 09:10,6.90 
증 산 교,2013-05-16 09:20,6.90 
증 산 교,2013-05-16 09:31,6.89 
증 산 교,2013-05-16 09:40,6.89 
증 산 교,2013-05-16 09:50,6.90 
증 산 교,2013-05-16 10:00,6.90 
증 산 교,2013-05-16 10:10,6.91 
증 산 교,2013-05-16 10:20,6.90 
증 산 교,2013-05-16 10:58,6.89 
증 산 교,2013-05-16 11:00,6.90 
증 산 교,2013-05-16 11:10,6.90 
증 산 교,2013-05-16 11:20,6.90 
증 산 교,2013-05-16 11:32,6.91 
증 산 교,2013-05-16 11:41,6.90 
증 산 교,2013-05-16 11:50,6.90 
증 산 교,2013-05-16 12:01,6.90 
증 산 교,2013-05-16 12:10,6.90 
증 산 교,2013-05-16 12:20,6.90 
증 산 교,2013-05-16 12:30,6.89 
증 산 교,2013-05-16 12:41,6.90 
증 산 교,2013-05-16 12:50,6.90 
증 산 교,2013-05-16 13:00,6.90 
증 산 교,2013-05-16 13:10,6.90 
증 산 교,2013-05-16 13:20,6.90 
증 산 교,2013-05-16 13:30,6.87 
증 산 교,2013-05-16 13:40,6.90 
증 산 교,2013-05-16 13:50,6.90 
증 산 교,2013-05-16 14:00,6.91 
증 산 교,2013-05-16 14:10,6.90 
증 산 교,2013-05-16 14:20,6.91 
증 산 교,2013-05-16 14:30,6.90 
증 산 교,2013-05-16 14:41,6.90 
증 산 교,2013-05-16 14:50,6.90 
증 산 교,2013-05-16 15:00,6.91 
증 산 교,2013-05-16 15:10,6.89 
증 산 교,2013-05-16 15:31,6.89 
증 산 교,2013-05-16 15:40,6.91 
증 산 교,2013-05-16 16:00,6.90 
증 산 교,2013-05-16 16:10,6.90 
증 산 교,2013-05-16 16:20,6.90 
증 산 교,2013-05-16 16:41,6.90 
증 산 교,2013-05-16 16:50,6.91 
증 산 교,2013-05-16 17:01,6.90 
증 산 교,2013-05-16 17:11,6.90 
증 산 교,2013-05-16 17:20,6.90 
증 산 교,2013-05-16 17:32,6.89 
증 산 교,2013-05-16 17:41,6.90 
증 산 교,2013-05-16 17:50,6.90 
증 산 교,2013-05-16 18:01,6.90 
증 산 교,2013-05-16 18:10,6.91 
증 산 교,2013-05-16 18:20,6.90 
증 산 교,2013-05-16 18:30,6.90 
증 산 교,2013-05-16 18:41,6.88 
증 산 교,2013-05-16 18:50,6.90 
증 산 교,2013-05-16 19:00,6.90 
증 산 교,2013-05-16 19:10,6.90 
증 산 교,2013-05-16 19:20,6.91 
증 산 교,2013-05-16 19:31,6.89 
증 산 교,2013-05-16 19:40,6.89 
증 산 교,2013-05-16 19:50,6.90 
증 산 교,2013-05-16 20:01,6.92 
증 산 교,2013-05-16 20:11,6.90 
증 산 교,2013-05-16 20:20,6.90 
증 산 교,2013-05-16 20:31,6.89 
증 산 교,2013-05-16 20:40,6.91 
증 산 교,2013-05-16 20:50,6.90 
증 산 교,2013-05-16 21:00,6.91 
증 산 교,2013-05-16 21:10,6.90 
증 산 교,2013-05-16 21:21,6.91 
증 산 교,2013-05-16 21:30,6.90 
증 산 교,2013-05-16 21:40,6.90 
증 산 교,2013-05-16 21:50,6.90 
