관측소명,시간,수위
탄천 2교,2006-05-15 00:00,6.04 
탄천 2교,2006-05-15 00:10,6.04 
탄천 2교,2006-05-15 00:20,6.04 
탄천 2교,2006-05-15 00:31,6.04 
탄천 2교,2006-05-15 00:40,6.04 
탄천 2교,2006-05-15 00:51,6.04 
탄천 2교,2006-05-15 01:00,6.04 
탄천 2교,2006-05-15 01:10,6.04 
탄천 2교,2006-05-15 01:21,6.04 
탄천 2교,2006-05-15 01:30,6.04 
탄천 2교,2006-05-15 01:40,6.04 
탄천 2교,2006-05-15 01:51,6.04 
탄천 2교,2006-05-15 02:00,6.04 
탄천 2교,2006-05-15 02:10,6.04 
탄천 2교,2006-05-15 02:20,6.04 
탄천 2교,2006-05-15 02:30,6.04 
탄천 2교,2006-05-15 02:41,6.04 
탄천 2교,2006-05-15 02:51,6.04 
탄천 2교,2006-05-15 03:00,6.04 
탄천 2교,2006-05-15 03:10,6.04 
탄천 2교,2006-05-15 03:20,6.04 
탄천 2교,2006-05-15 03:30,6.04 
탄천 2교,2006-05-15 03:40,6.04 
탄천 2교,2006-05-15 03:50,6.04 
탄천 2교,2006-05-15 04:01,6.04 
탄천 2교,2006-05-15 04:11,6.04 
탄천 2교,2006-05-15 04:20,6.04 
탄천 2교,2006-05-15 04:30,6.04 
탄천 2교,2006-05-15 04:40,6.04 
탄천 2교,2006-05-15 04:50,6.04 
탄천 2교,2006-05-15 05:00,6.04 
탄천 2교,2006-05-15 05:10,6.04 
탄천 2교,2006-05-15 05:21,6.04 
탄천 2교,2006-05-15 05:30,6.04 
탄천 2교,2006-05-15 05:40,6.04 
탄천 2교,2006-05-15 05:50,6.04 
탄천 2교,2006-05-15 06:00,6.04 
탄천 2교,2006-05-15 06:10,6.04 
탄천 2교,2006-05-15 06:20,6.04 
탄천 2교,2006-05-15 06:31,6.04 
탄천 2교,2006-05-15 06:41,6.04 
탄천 2교,2006-05-15 06:50,6.04 
탄천 2교,2006-05-15 07:00,6.04 
탄천 2교,2006-05-15 07:10,6.04 
탄천 2교,2006-05-15 07:20,6.04 
탄천 2교,2006-05-15 07:30,6.04 
탄천 2교,2006-05-15 07:40,6.04 
탄천 2교,2006-05-15 07:50,6.04 
탄천 2교,2006-05-15 08:00,6.04 
탄천 2교,2006-05-15 08:11,6.04 
탄천 2교,2006-05-15 08:21,6.04 
탄천 2교,2006-05-15 08:30,6.04 
탄천 2교,2006-05-15 08:40,6.04 
탄천 2교,2006-05-15 08:50,6.04 
탄천 2교,2006-05-15 09:01,6.04 
탄천 2교,2006-05-15 09:11,6.04 
탄천 2교,2006-05-15 09:21,6.04 
탄천 2교,2006-05-15 09:30,6.04 
탄천 2교,2006-05-15 09:40,6.04 
탄천 2교,2006-05-15 09:50,6.04 
탄천 2교,2006-05-15 10:00,6.04 
탄천 2교,2006-05-15 10:10,6.04 
탄천 2교,2006-05-15 10:20,6.04 
탄천 2교,2006-05-15 10:30,6.04 
탄천 2교,2006-05-15 10:40,6.04 
탄천 2교,2006-05-15 10:50,6.04 
탄천 2교,2006-05-15 11:00,6.04 
탄천 2교,2006-05-15 11:10,6.04 
탄천 2교,2006-05-15 11:22,6.04 
탄천 2교,2006-05-15 11:30,6.04 
탄천 2교,2006-05-15 11:41,6.04 
탄천 2교,2006-05-15 11:50,6.04 
탄천 2교,2006-05-15 12:00,6.04 
탄천 2교,2006-05-15 12:10,6.04 
탄천 2교,2006-05-15 12:21,6.04 
탄천 2교,2006-05-15 12:30,6.04 
탄천 2교,2006-05-15 12:40,6.04 
탄천 2교,2006-05-15 12:51,6.04 
탄천 2교,2006-05-15 13:00,6.04 
탄천 2교,2006-05-15 13:10,6.04 
탄천 2교,2006-05-15 13:20,6.04 
탄천 2교,2006-05-15 13:30,6.04 
탄천 2교,2006-05-15 13:40,6.04 
탄천 2교,2006-05-15 13:51,6.04 
탄천 2교,2006-05-15 14:00,6.04 
탄천 2교,2006-05-15 14:11,6.04 
탄천 2교,2006-05-15 14:20,6.04 
탄천 2교,2006-05-15 14:30,6.04 
탄천 2교,2006-05-15 14:41,6.03 
탄천 2교,2006-05-15 14:51,6.04 
탄천 2교,2006-05-15 15:00,6.05 
탄천 2교,2006-05-15 15:10,6.05 
탄천 2교,2006-05-15 15:20,6.05 
