연번,자치구,구 전체면적(헥타르), 불투수면적(헥타르) ,불투수면적 비율(퍼센트)
1,종로구,2312.4,971.6,42.02
2,중구,998.2,749.2,75.05
3,용산구,2196.7,970,44.16
4,성동구,1642.2,1040.4,63.36
5,광진구,1788.9,1023.9,57.23
6,동대문구,1459.4,1078.3,73.89
7,중랑구,1829.9,1070.6,58.51
8,성북구,2487.1,1305.1,52.48
9,강북구,2381.9,861.2,36.15
10,도봉구,2077.7,839.8,40.42
11,노원구,3575.5,1322.9,37
12,은평구,3133.1,1206.1,38.5
13,서대문구,1782.2,943.2,52.92
14,마포구,2347.4,1260.3,53.69
15,양천구,1736.6,1168.4,67.28
16,강서구,4207.7,1672.1,39.74
17,구로구,2009.6,1219.2,60.67
18,금천구,1294.6,781.7,60.38
19,영등포구,2461.8,1467.5,59.61
20,동작구,1646,988.3,60.04
21,관악구,2996.6,1174.3,39.19
22,서초구,4695.5,1698.9,36.18
23,강남구,3970.4,2179.2,54.89
24,송파구,3310.9,1895.2,57.24
25,강동구,2523.6,1190.7,47.18
