관리번호,구분,관리기관,시설명,위치,출발 X,출발 Y,도착 X,도착 Y,총중량,폭제한,높이제한,길이제한,실제높이
753,교량,동부도로사업소,영동5교,강남구 개포동,205768.6081,543332.3946,543469.8353,205826.99,40,2.5,4,16.7,
633,교량,강남,영동4교 ,강남구 개포동,204977.2641,543057.5644,543196.2047,205014.0755,40,2.5,4,16.7,
254,터널,공단,구룡터널,강남구 개포동,205380.7326,540692.4471,541613.6299,206109.9738,40,2.5,4,16.7,
260,터널,동부도로사업소,일원터널,강남구 개포동,206724.4975,542588.8718,542820.2872,206836.8196,40,2.5,4,16.7,
747,교량,동부도로사업소,대치교,강남구 대치동,206459.4606,544225.1511,544265.2887,206577.4407,32,2.5,4,16.7,
876,교량,교량안전과,영동6교,강남구 대치동 ~ 개포동,206304.4576,543710.7861,543846.104,206363.7542,40,2.5,4,16.7,
875,교량,교량안전과,탄천1교,강남구 대치동 ~ 송파구 삼전동,207113.3238,544460.3558,544591.6192,207454.9127,40,2.5,4,16.7,
757,교량,동부도로사업소,영동3교,강남구 도곡동,204528.6009,542751.4643,542937.2525,204609.4842,30,2.5,4,16.7,
259,터널,동부도로사업소,매봉터널,강남구 도곡동,204220.19,543305.314,543641.6891,204370.6363,40,2.5,4,16.7,
629,교량,강남,세월3교,강남구 삼성동,206057.7023,545424.4888,545434.5283,206137.0619,32,2.5,4,16.7,
630,교량,강남,세월2교,강남구 삼성동,205991.7286,545935.5456,545947.0192,206079.2154,24,2.5,4,16.7,
631,교량,강남,세월1교,강남구 삼성동,205949.1804,546222.8656,546235.7735,206047.1847,24,2.5,4,16.7,
819,교량,공단,청담1교,강남구 삼성동 ~ 송파구 잠실동,205818.4147,546512.4191,546539.5974,206238.7633,32,2.5,4,16.7,
877,교량,교량안전과,봉은교,강남구 삼성동 ~ 송파구 잠실동,205901.2915,546219.4879,546251.9236,206158.7502,40,2.5,4,16.7,
740,교량,동부도로사업소,세곡3교,강남구 세곡동,209545.4914,540286.1973,540352.4851,209553.3973,40,2.5,4,16.7,
741,교량,동부도로사업소,세곡1교,강남구 세곡동,208220.3439,540536.4489,540596.3511,208239.8045,32,2.5,4,16.7,
632,교량,강남,은곡교 ,강남구 세곡동,208237.7013,540567.298,540600.7629,208255.8679,32,2.5,4,16.7,
634,교량,강남,대왕교 ,강남구 세곡동,210788.2045,540835.0172,540868.4821,210940.2308,40,2.5,4,16.7,
635,교량,강남,휘여울소교 ,강남구 세곡동,208417.6946,540625.6225,540671.0392,208439.2078,40,2.5,4,16.7,
636,교량,강남,실여울교,강남구 세곡동,208788.1988,540703.5479,540721.7146,208790.1111,40,2.5,4,16.7,
261,터널,동부도로사업소,위례터널,강남구 세곡동,210116.907,540628.7171,540687.734,212101.3502,40,2.5,4,16.7,
759,교량,동부도로사업소,광평교,강남구 수서동,209427.8154,543270.5158,543348.3584,209619.381,40,2.5,4,16.7,
752,교량,동부도로사업소,탄천교,강남구 수서동 ~ 송파구 가락동,208922.4471,543766.61,543847.4932,209127.3919,40,2.5,4,16.7,
201,고가,남부도로사업소,신사고가,강남구 신사동 ,201563.3696,546906.8117,546931.8686,201575.3014,40,2.5,4,16.7,
831,교량,공단,한남대교남단2교,강남구 신사동 ~ 서초구 잠원동,201336.9291,547075.7508,547279.9352,201572.835,40,2.5,4,16.7,
857,교량,공단,한남대교남단1교,강남구 압구정동 ~ 서초구 잠원동,201265.1,546956.0659,547320.3163,201588.8781,40,2.5,4,16.7,
748,교량,동부도로사업소,대곡교,강남구 율현동,210752.3548,540992.8615,541078.0018,210900.7421,40,2.5,4,16.7,
878,교량,교량안전과,숯내교,강남구 자곡동 ~ 송파구 문정동,210114.8968,542106.7374,542220.7693,210317.6202,40,2.5,4,16.7,
760,교량,동부도로사업소,강일육교,강동구 강일동,215500.4951,550886.1937,550901.096,215553.7176,40,2.5,4,16.7,
761,교량,동부도로사업소,고덕교,강동구 강일동,215237.8421,551526.9925,551554.9343,215274.8317,40,2.5,4,16.7,
