"허가신고번호","허가신고양식","팀명","개발위치지역코드","개발위치산","개발위치번지","개발위치호","경도도","경도분","경도초","위도도","위도분","위도초","기준년도","구명"
"2190100058","신고시설","서울특별시 강남구","1168010100","","831-21","","0","0","0","0","0","0","2011","강남구"
"1190100023","허가시설","서울특별시 양천구","","","","","0","0","0","0","0","0","96-0","양천구"
"2190100791","신고시설","서울특별시 양천구","","","","","0","0","0","0","0","0","85-0","양천구"
"1199400028","허가시설","서울특별시 강서구","1150010700","","268-2","","0","0","0","0","0","0","2018","강서구"
"2190100166","신고시설","서울특별시 강서구","1150010900","1","168","12","126","49","9","37","34","20","2018","강서구"
"2190100441","신고시설","서울특별시 강동구","1174011000","1","304","2","0","0","0","0","0","0","2017","강동구"
"1199700021","허가시설","서울특별시 강서구","1150010400","1","308","2","0","0","0","0","0","0","2018","강서구"
"2190100837","신고시설","서울특별시 강동구","1174010700","1","252","3","0","0","0","0","0","0","2017","강동구"
"2190101003","신고시설","서울특별시 강동구","1174011000","1","304","2","0","0","0","0","0","0","2017","강동구"
"2190101064","신고시설","서울특별시 강남구","1168011500","","201-1","","0","0","0","0","0","0","2017","강남구"
"2190100267","신고시설","서울특별시 송파구","1171010100","","222-2","","0","0","0","0","0","0","2017","송파구"
"2190101130","신고시설","서울특별시 강남구","1168011500","","193","","0","0","0","0","0","0","2017","강남구"
"2190100321","신고시설","서울특별시 송파구","1171010400","","20-7","","0","0","0","0","0","0","2017","송파구"
"2200200405","신고시설","서울특별시 송파구","1171010800","","511","","0","0","0","0","0","0","2017","송파구"
"2201500118","신고시설","서울특별시 강남구","1168011200","1","197","","127","6","19.46","37","28","55.71","2017","강남구"
"1201600004","허가시설","서울특별시 송파구","1171010800","1","216","1","127","7","7.87","37","29","4.64","2017","송파구"
"1190100075","허가시설","서울특별시 마포구","1144012500","1","591","7   ","0","0","0","0","0","0","2017","마포구"
"1190100122","허가시설","서울특별시 마포구","1144010400","1","536","","0","0","0","0","0","0","2017","마포구"
"2200000021","신고시설","서울특별시 도봉구","1132010800","","602-24","","0","0","0","0","0","0","2017","도봉구"
"2198500003","신고시설","서울특별시 도봉구","1132010800","","634-2","","0","0","0","0","0","0","2017","도봉구"
"2200600013","신고시설","서울특별시 마포구","1144011100","1","203","6","126","56","13","37","32","46","2017","마포구"
"2200000314","신고시설","서울특별시 도봉구","1132010600","","283-14","","0","0","0","0","0","0","2017","도봉구"
"2200200601","신고시설","서울특별시 도봉구","1132010600","1","630","40","0","0","0","0","0","0","2017","도봉구"
"2201300002","신고시설","서울특별시 도봉구","1132010800","1","550","","127","1","11","37","41","38","2017","도봉구"
"2200000022","신고시설","서울특별시 성북구","1129010100","1","330","312","126","59","37","37","35","45","2018","성북구"
"2200300028","신고시설","서울특별시 성북구","1129013400","1","596","39","127","1","6","37","36","15","2018","성북구"
"2200900012","신고시설","서울특별시 양천구","1147010300","1","603","10","126","50","52.9","37","30","55.66","2017","양천구"
"2199700526","신고시설","서울특별시 성북구","1129013500","","88-1","","0","0","0","0","0","0","2018","성북구"
"2199700230","신고시설","서울특별시 성북구","1129013300","","738-5","","0","0","0","0","0","0","2018","성북구"
"1200900001","허가시설","서울특별시 성북구","1129011500","1","411","","127","0","1.61","37","35","22","2018","성북구"
"2190100348","신고시설","서울특별시 금천구","1154510200","","302","7","0","0","0","0","0","0","2018","금천구"
"2190100046","신고시설","서울특별시 강북구","1130510100","","310","4","0","0","0","0","0","0","2018","강북구"
"2190101717","신고시설","서울특별시 강남구","1168010500","","78-1","","0","0","0","0","0","0","2017","강남구"
"1200800002","허가시설","서울특별시 성동구","1120011400","1","685","700","127","2","43.12","37","32","32.8","2018","성동구"
"2190100575","신고시설","서울특별시 동대문구","1123010700","1","534","","0","0","0","0","0","0","2018","동대문구"
"2190100057","신고시설","서울특별시 중랑구","1126010100","","699","","0","0","0","0","0","0","2018","중랑구"
"2190100264","신고시설","서울특별시 동대문구","1123010700","","46","","0","0","0","0","0","0","2018","동대문구"
